Year,Dates,Documents,Links,StartDate,EndDate,DummyMeeting,Name,Group,Class,Size,FileType,Comments
1937,March 15 Meeting - 1937,"Record of Policy Actions (301 KB PDF)",/monetarypolicy/files/fomcropa19370315.pdf,15-Mar-1937,15-Mar-1937,1,Record of Policy Actions,Minutes,Meeting Summary,301 KB ,PDF,""
1937,March 15 Meeting - 1937,"Historical Minutes (991 KB PDF)",/monetarypolicy/files/FOMChistmin19370315.pdf,15-Mar-1937,15-Mar-1937,1,Historical Minutes,Minutes,Meeting Summary,991 KB ,PDF,""
1937,March 15 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 13, 1937 (391 KB PDF)",/monetarypolicy/files/FOMChminec119370313.pdf,15-Mar-1937,15-Mar-1937,1,IMECM,Minutes,Meeting Summary,391 KB ,PDF,""
1937,March 15 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 15, 1937 (96 KB PDF)",/monetarypolicy/files/FOMChminec119370315.pdf,15-Mar-1937,15-Mar-1937,1,IMECM,Minutes,Meeting Summary,96 KB ,PDF,""
1937,April 3-4 Meeting - 1937,"Record of Policy Actions (284 KB PDF)",/monetarypolicy/files/fomcropa19370404.pdf,03-Apr-1937,04-Apr-1937,1,Record of Policy Actions,Minutes,Meeting Summary,284 KB ,PDF,""
1937,April 3-4 Meeting - 1937,"Historical Minutes (383 KB PDF)",/monetarypolicy/files/FOMChistmin19370504.pdf,03-Apr-1937,04-Apr-1937,1,Historical Minutes,Minutes,Meeting Summary,383 KB ,PDF,""
1937,April 3-4 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 22. 1937 (439 KB PDF)",/monetarypolicy/files/FOMChminec119370322.pdf,03-Apr-1937,04-Apr-1937,1,IMECM,Minutes,Meeting Summary,439 KB ,PDF,""
1937,April 3-4 Meeting - 1937,"Intermeeting Executive Committee Minutes:March 23, 1937 (202 KB PDF)",/monetarypolicy/files/FOMChminec119370323.pdf,03-Apr-1937,04-Apr-1937,1,IMECM,Minutes,Meeting Summary,202 KB ,PDF,""
1937,May 4-5 Meeting - 1937,"Record of Policy Actions (145 KB PDF)",/monetarypolicy/files/fomcropa19370505.pdf,04-May-1937,05-May-1937,1,Record of Policy Actions,Minutes,Meeting Summary,145 KB ,PDF,""
1937,May 4-5 Meeting - 1937,"Historical Minutes (879 KB PDF)",/monetarypolicy/files/FOMChistmin19370505.pdf,04-May-1937,05-May-1937,1,Historical Minutes,Minutes,Meeting Summary,879 KB ,PDF,""
