,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,newdate,-0.25,0.0,0.5,-0.5,0.25,0.75
34,45,1993-09-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1993,"-0.5,0,0.50",0.0,1993-09-21,False,True,False,False,False,False
35,46,1993-11-16,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1993,"-0.5,0,0.50",0.0,1993-11-16,False,True,False,False,False,False
36,47,1993-12-21,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12,1993,"-0.5,0,0.50",0.0,1993-12-21,False,True,False,False,False,False
37,48,1994-02-04,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1994,"-0.5,0,0.50",0.25,1994-02-04,False,False,False,False,True,False
38,49,1994-03-22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1994,"0,0.50",0.25,1994-03-22,False,False,False,False,True,False
39,50,1994-05-17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,1994,"0,0.25,0.50",0.5,1994-05-17,False,False,True,False,False,False
40,51,1994-07-06,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7,1994,"0,0.25,0.50",0.0,1994-07-06,False,True,False,False,False,False
41,52,1994-08-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8,1994,"0,0.25,0.50",0.5,1994-08-16,False,False,True,False,False,False
42,53,1994-09-27,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9,1994,"0,0.25,0.50",0.0,1994-09-27,False,True,False,False,False,False
43,54,1994-11-15,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11,1994,"0,0.50",0.75,1994-11-15,False,False,False,False,False,True
44,55,1994-12-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12,1994,"0,0.50",0.0,1994-12-20,False,True,False,False,False,False
45,56,1995-02-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1995,"0,0.50",0.5,1995-02-01,False,False,True,False,False,False
46,57,1995-03-28,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1995,"-0.5,0,0.50",0.0,1995-03-28,False,True,False,False,False,False
47,58,1995-05-23,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1995,"-0.5,0,0.50",0.0,1995-05-23,False,True,False,False,False,False
48,59,1995-07-06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7,1995,"-0.5,0",-0.25,1995-07-06,True,False,False,False,False,False
49,60,1995-08-22,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,1995,"-0.5,0,0.50",0.0,1995-08-22,False,True,False,False,False,False
50,61,1995-09-26,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1995,"-0.5,0,0.50",0.0,1995-09-26,False,True,False,False,False,False
51,62,1995-11-15,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,1995,"-0.5,0,0.50",0.0,1995-11-15,False,True,False,False,False,False
