,end_date,event_type,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_treatment_size_alt_d,bluebook_treatment_alt_d,bluebook_treatment_size_alt_e,bluebook_treatment_alt_e,statement_policy_change,statement_policy_action,alternative_treatment_chosen,alternative_treatment_size_chosen
739,1997-09-30,Meeting,N,N,U,0,T,0.25,,,,,,,,
740,1997-11-12,Meeting,N,N,U,0,T,0.25,,,,,,,,
741,1997-12-16,Meeting,E,-0.25,U,0,T,0.25,,,,,,,,
742,1998-02-04,Meeting,E,-0.25,U,0,T,?,,,,,,,,
743,1998-03-31,Meeting,E,-0.25,U,0,T,0.25,,,,,,,,
744,1998-05-19,Meeting,N,N,U,0,T,0.25,,,,,,,,
745,1998-07-01,Meeting,N,N,U,0,T,0.25,,,,,,,,
746,1998-08-18,Meeting,E,-0.25,U,0,T,0.25,,,,,,,,
748,1998-09-29,Meeting,E,-0.25,U,0,N,N,,,,,-25.0,E,alt_a,alt_a
750,1998-11-17,Meeting,E,-0.25,U,0,N,N,,,,,-25.0,E,alt_a,alt_a
751,1998-12-22,Meeting,E,-0.25,U,0,T,0.25,,,,,,,,
752,1999-02-03,Meeting,E,-0.25,U,0,T,0.25,,,,,,,,
753,1999-03-30,Meeting,N,N,U,0,T,0.25,,,,,,,,
754,1999-05-18,Meeting,N,N,U,0,T,0.25,,,,,,,,
755,1999-06-30,Meeting,N,N,U,0,T,0.25,,,,,25.0,T,alt_c,alt_c
756,1999-08-24,Meeting,N,N,U,0,T,0.25,,,,,25.0,T,alt_c,alt_c
757,1999-10-05,Meeting,N,N,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
758,1999-11-16,Meeting,N,N,U,0,T,0.25,,,,,25.0,T,alt_c,alt_c
759,1999-12-21,Meeting,N,N,U,0,T,0.25,,,,,,,,
760,2000-02-02,Meeting,N,N,U,0,T,0.25,0.5,T,,,25.0,T,alt_c and alt_d,alt_c
761,2000-03-21,Meeting,N,N,U,0,T,0.25,0.5,T,,,25.0,T,alt_c and alt_d,alt_c
762,2000-05-16,Meeting,N,N,N,N,T,0.25,0.5,T,,,50.0,T,alt_c and alt_d,alt_d
763,2000-06-28,Meeting,N,N,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
764,2000-08-22,Meeting,N,N,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
765,2000-10-03,Meeting,N,N,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
766,2000-11-15,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
767,2000-12-19,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
769,2001-01-31,Meeting,E,-0.25,U,0,U,0,,,,,-50.0,E,alt_a,
770,2001-03-20,Meeting,E,-0.5,E,-0.75,E,-0.25,,,,,-50.0,E,alt_a and alt_b and alt_c,alt_a
773,2001-05-15,Meeting,E,-0.5,E,-0.25,E,-0.75,,,,,-50.0,E,alt_a and alt_b and alt_c,alt_a
774,2001-06-27,Meeting,U,0,E,-0.25,E,-0.5,,,,,-25.0,E,alt_b and alt_c,alt_b
775,2001-08-21,Meeting,U,0,E,-0.25,E,-0.5,,,,,-25.0,E,alt_b and alt_c,alt_b
778,2001-10-02,Meeting,E,-0.25,E,-0.25,N,N,,,,,-50.0,E,alt_a and alt_b,
779,2001-11-06,Meeting,U,0,E,-0.25,E,-0.5,,,,,-50.0,E,alt_b and alt_c,alt_c
780,2001-12-11,Meeting,U,0,E,-0.25,E,-0.5,,,,,-25.0,E,alt_b and alt_c,alt_b
781,2002-01-30,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
782,2002-03-19,Meeting,E,-0.25,U,0,T,0.25,,,,,0.0,U,alt_b,alt_b
783,2002-05-07,Meeting,U,0,T,0.25,N,N,,,,,0.0,U,alt_a,alt_a
784,2002-06-26,Meeting,U,0,E,-0.25,T,0.25,,,,,0.0,U,alt_a,alt_a
785,2002-08-13,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
786,2002-09-24,Meeting,U,0,E,-0.25,E,-0.5,,,,,0.0,U,alt_a,alt_a
787,2002-11-06,Meeting,U,0,E,-0.25,E,-0.5,,,,,-50.0,E,alt_b and alt_c,alt_c
788,2002-12-10,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
789,2003-01-29,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
790,2003-03-18,Meeting,U,0,E,-0.25,E,-0.5,,,,,0.0,U,alt_a,alt_a
795,2003-05-06,Meeting,U,0,E,-0.25,E,-0.5,,,,,0.0,U,alt_a,alt_a
796,2003-06-25,Meeting,E,-0.25,E,-0.5,U,0,,,,,-25.0,E,alt_a and alt_b,alt_a
797,2003-08-12,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
798,2003-09-15,Meeting,,,,,,,,,,,,,,
799,2003-09-16,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
800,2003-10-28,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
801,2003-12-09,Meeting,U,0,E,-0.25,N,N,,,,,0.0,U,alt_a,alt_a
802,2004-01-28,Meeting,U,0,E,-0.25,N,0.25,,,,,0.0,U,alt_a,alt_a
803,2004-03-16,Meeting,U,0,U,0,U,0,,,,,0.0,U,alt_a and alt_b and alt_c,alt_a and alt_b and alt_c
804,2004-05-04,Meeting,U,0,U,0,T,0.25,,,,,0.0,U,alt_a and alt_b,alt_a and alt_b
805,2004-06-30,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
806,2004-08-10,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
807,2004-09-21,Meeting,U,0,T,0.25,T,0.25,,,,,25.0,T,alt_b and alt_c,alt_b and alt_c
808,2004-11-10,Meeting,U,0,T,0.25,T,0.25,,,,,25.0,T,alt_b and alt_c,alt_b and alt_c
809,2004-12-14,Meeting,U,0,T,0.25,T,0.25,,,,,25.0,T,alt_b and alt_c,alt_b and alt_c
810,2005-02-02,Meeting,U,0,T,0.25,T,0.5,,,,,25.0,T,alt_b and alt_c,alt_b
811,2005-03-22,Meeting,T,0.25,T,0.25,T,0.5,,,,,25.0,T,alt_a and alt_b and alt_c,alt_a and alt_b
812,2005-05-03,Meeting,T,0.25,T,0.25,T,0.5,,,,,25.0,T,alt_a and alt_b and alt_c,alt_a and alt_b
813,2005-06-30,Meeting,T,0.25,T,0.25,T,0.5,,,,,25.0,T,alt_a and alt_b and alt_c,alt_a and alt_b
814,2005-08-09,Meeting,T,0.25,T,0.25,T,0.5,,,,,25.0,T,alt_a and alt_b and alt_c,alt_a and alt_b
