,Unnamed: 0,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year,perc_group,decision,-0.125,0.25,0.3125,0.0,0.0625,0.125,-0.25,-0.5,0.5,0.75,-0.75
27,27,1991-07-03,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,7,1991,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
28,28,1991-08-20,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,8,1991,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
29,29,1991-10-01,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,10,1991,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
30,30,1991-11-05,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,11,1991,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
31,31,1991-12-17,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,12,1991,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
32,32,1992-02-05,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,2,1992,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
33,33,1992-03-31,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,3,1992,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
34,34,1992-05-19,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,5,1992,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
35,35,1992-07-01,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,7,1992,"-0.25,0,0.25",-0.5,False,False,False,False,False,False,False,True,False,False,False
36,36,1992-08-18,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,8,1992,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
37,37,1992-10-06,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,10,1992,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
38,38,1992-11-17,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,11,1992,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
39,39,1992-12-22,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,12,1992,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
40,40,1993-02-03,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,2,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
41,41,1993-03-23,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,3,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
42,42,1993-05-18,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,5,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
43,43,1993-07-07,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,7,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
44,44,1993-08-17,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,8,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
45,45,1993-09-21,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,9,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
46,46,1993-11-16,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,11,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
47,47,1993-12-21,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,12,1993,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
48,48,1994-02-04,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,2,1994,"-0.25,0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
49,49,1994-03-22,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,3,1994,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
50,50,1994-05-17,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,5,1994,"0,0.25",0.5,False,False,False,False,False,False,False,False,True,False,False
51,51,1994-07-06,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,7,1994,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
52,52,1994-08-16,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,8,1994,"0,0.25",0.5,False,False,False,False,False,False,False,False,True,False,False
53,53,1994-09-27,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,9,1994,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
54,54,1994-11-15,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,11,1994,"0,0.25",0.75,False,False,False,False,False,False,False,False,False,True,False
55,55,1994-12-20,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,12,1994,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
56,56,1995-02-01,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,2,1995,"0,0.25",0.5,False,False,False,False,False,False,False,False,True,False,False
57,57,1995-03-28,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,3,1995,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
58,58,1995-05-23,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,5,1995,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
59,59,1995-07-06,1.0,1.0,0.0,0.0,1.0,1,1.0,0,0.0,0.0,7,1995,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
60,60,1995-08-22,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,8,1995,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
61,61,1995-09-26,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,9,1995,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
62,62,1995-11-15,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,11,1995,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
63,63,1995-12-19,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,12,1995,"-0.25,0,0.25",-0.25,False,False,False,False,False,False,True,False,False,False,False
64,64,1996-01-31,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,1,1996,"-0.25,0,0.25",-0.25,False,False,False,False,False,False,True,False,False,False,False
65,65,1996-03-26,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,3,1996,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
66,66,1996-05-21,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,5,1996,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
67,67,1996-07-03,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,7,1996,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
68,68,1996-08-20,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,8,1996,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
69,69,1996-09-24,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,9,1996,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
70,70,1996-11-13,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,11,1996,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
71,71,1996-12-17,1.0,1.0,1.0,0.0,1.0,1,1.0,1,1.0,0.0,12,1996,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
72,72,1997-02-05,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,2,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
73,73,1997-03-25,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,3,1997,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
74,74,1997-05-20,0.0,1.0,1.0,0.0,0.0,0,1.0,1,1.0,0.0,5,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
75,75,1997-07-02,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,7,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
76,76,1997-08-19,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,8,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
77,77,1997-09-30,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,9,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
78,78,1997-11-12,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,11,1997,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
79,79,1997-12-16,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,12,1997,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
80,80,1998-02-04,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,2,1998,"-0.25,0",0.0,False,False,False,True,False,False,False,False,False,False,False
81,81,1998-03-31,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,3,1998,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
82,82,1998-05-19,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,5,1998,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
83,83,1998-07-01,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,7,1998,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
84,84,1998-08-18,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,8,1998,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
85,85,1998-09-29,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,9,1998,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
86,86,1998-11-17,1.0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,11,1998,"-0.25,0",-0.25,False,False,False,False,False,False,True,False,False,False,False
87,87,1998-12-22,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,12,1998,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
88,88,1999-02-03,1.0,1.0,1.0,0.0,0.0,1,1.0,1,0.0,0.0,2,1999,"-0.25,0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
89,89,1999-03-30,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,3,1999,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
90,90,1999-05-18,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,5,1999,"0,0.25",0.0,False,False,False,True,False,False,False,False,False,False,False
91,91,1999-06-30,0.0,1.0,1.0,0.0,0.0,0,1.0,1,0.0,0.0,6,1999,"0,0.25",0.25,False,True,False,False,False,False,False,False,False,False,False
