,Date,Speaker,content
5860,1996-12-17,CHAIRMAN, President Jordan 
6001,1997-09-30,CHAIRMAN," The last time we looked at this issue was a year or so ago,  and we saw the same problem for the total unemployment rate It was not a sectoral phenomenon;  it was a divergence between the labor market and the facilities market "
