l1_inflation,l1_unemp,d_y2k,d_nineeleven,target_change_last,target_change_last_fomc,d_meeting,scale,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
0.033089999999999994,6.6,0.0,0,0.0,0.0,1,1.12,0,1,0,0,0,0,0,0,0,0,0
0.23155,6.6,0.0,0,0.25,0.25,1,3.1,0,0,1,0,0,0,0,0,0,0,0
0.27549,6.5,0.0,0,0.25,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.11877,6.4,0.0,0,0.25,0.25,1,2.066666666666667,0,0,0,0,1,0,0,0,0,0,0
0.14435,6.1,0.0,0,0.5,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.24547,6.1,0.0,0,0.0,0.0,1,1.1923076923076923,0,0,0,0,0,0,1,0,0,0,0
0.31463,6.1,0.0,0,0.0,0.0,1,1.9375,0,0,0,0,0,0,0,1,0,0,0
0.22849,6.0,0.0,0,0.5,0.5,1,7.5,0,0,0,0,0,0,0,0,1,0,0
0.11185999999999999,5.9,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.16973,5.8,0.0,0,0.0,0.0,1,1.875,0,0,0,0,0,0,0,0,0,0,1
0.19062,5.6,0.0,0,0.75,0.75,1,2.583333333333333,0,0,0,0,0,0,0,0,0,0,0
0.06483,5.5,0.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.2014,5.6,0.0,0,0.0,0.0,1,1.0,0,1,0,0,0,0,0,0,0,0,0
0.1771,5.4,0.0,0,0.5,0.5,1,7.75,0,0,1,0,0,0,0,0,0,0,0
0.18520999999999999,5.4,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.26329,5.8,0.0,0,0.0,0.0,1,3.4444444444444446,0,0,0,0,1,0,0,0,0,0,0
0.15365,5.6,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.09763,5.6,0.0,0,0.0,0.0,1,1.1923076923076923,0,0,0,0,0,0,1,0,0,0,0
0.1254,5.7,0.0,0,-0.25,-0.25,1,3.1,0,0,0,0,0,0,0,1,0,0,0
0.21569000000000002,5.7,0.0,0,0.0,0.0,1,6.0,0,0,0,0,0,0,0,0,1,0,0
0.06804,5.6,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.25948000000000004,5.5,0.0,0,0.0,0.0,1,1.875,0,0,0,0,0,0,0,0,0,0,1
-0.00277,5.6,0.0,0,0.0,0.0,1,2.3846153846153846,0,0,0,0,0,0,0,0,0,0,0
0.19238,5.6,0.0,0,-0.25,-0.25,1,31.0,1,0,0,0,0,0,0,0,0,0,0
0.22241,5.6,0.0,0,-0.25,-0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.15713,5.5,0.0,0,0.0,0.0,1,5.166666666666667,0,0,1,0,0,0,0,0,0,0,0
0.30138000000000004,5.5,0.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.30048,5.6,0.0,0,0.0,0.0,1,2.8181818181818183,0,0,0,0,1,0,0,0,0,0,0
0.17235999999999999,5.6,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
-0.00137,5.3,0.0,0,0.0,0.0,1,1.0689655172413792,0,0,0,0,0,0,1,0,0,0,0
0.21166999999999997,5.5,0.0,0,0.0,0.0,1,2.583333333333333,0,0,0,0,0,0,0,1,0,0,0
0.09539,5.1,0.0,0,0.0,0.0,1,4.285714285714286,0,0,0,0,0,0,0,0,1,0,0
0.28181,5.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.30274,5.2,0.0,0,0.0,0.0,1,1.6666666666666667,0,0,0,0,0,0,0,0,0,0,1
0.17865999999999999,5.4,0.0,0,0.0,0.0,1,2.066666666666667,0,0,0,0,0,0,0,0,0,0,0
0.11484000000000001,5.4,0.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0.12955,5.3,0.0,0,0.0,0.0,1,1.1666666666666667,0,1,0,0,0,0,0,0,0,0,0
0.21025,5.2,0.0,0,0.0,0.0,1,4.428571428571429,0,0,1,0,0,0,0,0,0,0,0
0.10490999999999999,5.2,0.0,0,0.25,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0.09808,5.1,0.0,0,0.0,0.0,1,2.583333333333333,0,0,0,0,1,0,0,0,0,0,0
-0.04564,4.9,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
0.12891,5.0,0.0,0,0.0,0.0,1,1.0333333333333334,0,0,0,0,0,0,1,0,0,0,0
0.05901,4.9,0.0,0,0.0,0.0,1,2.3846153846153846,0,0,0,0,0,0,0,1,0,0,0
0.08042,4.8,0.0,0,0.0,0.0,1,30.0,0,0,0,0,0,0,0,0,1,0,0
0.24106,4.9,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.12959,4.7,0.0,0,0.0,0.0,1,1.5789473684210529,0,0,0,0,0,0,0,0,0,0,1
0.00534,4.6,0.0,0,0.0,0.0,1,1.9375,0,0,0,0,0,0,0,0,0,0,0
