l1_ld_inflation_yearly,l1_diff_unemp_yearly,lag_DFEDTAR,target_change_last,target_change_last_fomc,d_meeting,scale,d_y2k,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
-0.2057117811998133,-0.10000000000000052,9.5625,-0.25,-0.25,1,1.24,0.0,0,0,0,0,0,0,0,1,0,0,0,0
-0.2464494596548405,-0.20000000000000015,9.0625,-0.5,-0.5,1,3.4444444444444446,0.0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2847775495832039,-0.39999999999999947,9.0625,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2631283847184029,-0.10000000000000052,9.0625,0.0,0.0,1,1.1071428571428572,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.06293295026384982,-0.10000000000000052,8.75,-0.3125,-0.3125,1,1.875,0.0,0,0,0,0,0,0,0,0,0,0,0,1
-0.011988733084145052,0.10000000000000052,8.5,-0.25,-0.25,1,2.583333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-0.023169823274926667,0.10000000000000052,8.25,-0.25,-0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.24380724212464955,0.0,8.25,0.0,0.0,1,1.3333333333333333,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.10716241452017884,0.09999999999999963,8.25,0.0,0.0,1,7.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.003951843402472122,0.20000000000000015,8.25,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
-0.4552788726389423,0.20000000000000015,8.25,0.0,0.0,1,1.9375,0.0,0,0,0,0,0,1,0,0,0,0,0,0
-0.1389331682775108,0.20000000000000015,8.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.22226571067136547,-0.09999999999999963,8.25,0.0,0.0,1,1.1071428571428572,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.008472056345443235,0.2999999999999998,8.0,-0.25,-0.25,1,3.1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.6516628362126298,0.5,8.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.38894415449837183,0.6000000000000005,8.0,0.0,0.0,1,1.0689655172413792,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.18190347087072567,0.6000000000000005,7.75,-0.25,-0.25,1,1.7647058823529411,0.0,0,0,0,0,0,0,0,0,0,0,0,1
-0.09283204677794643,0.7999999999999998,7.5,-0.25,-0.25,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1949331014933442,0.8999999999999995,7.0,-0.5,-0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
-0.3767742846286559,1.0,6.75,-0.25,-0.25,1,1.2727272727272727,0.0,0,0,1,0,0,0,0,0,0,0,0,0
-0.3880505931370237,1.2999999999999998,6.25,-0.5,-0.5,1,6.2,0.0,0,0,0,1,0,0,0,0,0,0,0,0
-0.35472017359072794,1.5999999999999996,6.0,-0.25,-0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
-0.029002226457297556,1.2999999999999998,5.75,-0.25,-0.25,1,1.8235294117647056,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.18986733641899176,1.5,5.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
-0.2730391423296119,1.7000000000000002,5.75,0.0,0.0,1,1.1071428571428572,0.0,0,0,0,0,0,0,0,1,0,0,0,0
-0.08944424722239219,1.2999999999999998,5.75,0.0,0.0,1,2.8181818181818183,0.0,0,0,0,0,0,0,0,0,1,0,0,0
-0.4313182453009823,1.2000000000000002,5.5,-0.25,-0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2682703584873991,1.0,5.25,-0.25,-0.25,1,1.0333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3829475890140266,1.0999999999999996,5.0,-0.25,-0.25,1,1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.09238636918240672,0.7999999999999998,4.75,-0.25,-0.25,1,2.2142857142857144,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.15621565616834587,1.0,4.0,-0.75,-0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
-0.2429122468806,0.8999999999999995,4.0,0.0,0.0,1,1.2083333333333333,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.20185276465856106,0.8000000000000007,4.0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.22002752154186567,0.6000000000000005,4.0,0.0,0.0,1,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.09077267728514472,0.7000000000000002,3.75,-0.25,-0.25,1,2.583333333333333,0.0,0,0,0,0,0,1,0,0,0,0,0,0
-0.2830436828602068,0.6999999999999993,3.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.010600418326500716,0.8999999999999995,3.75,0.0,0.0,1,1.0333333333333334,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.1713767784598197,0.9000000000000004,3.25,-0.5,-0.5,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,1,0,0,0
-0.09825349296468387,0.6999999999999993,3.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1806879085579638,0.6999999999999993,3.0,-0.25,-0.25,1,1.24,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.165215532429297,0.2999999999999998,3.0,0.0,0.0,1,2.3076923076923075,0.0,0,0,0,0,0,0,0,0,0,0,0,1
-0.02191206066504137,0.4000000000000004,3.0,0.0,0.0,1,3.4444444444444446,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-0.07706068090405083,0.10000000000000052,3.0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.10809912035529834,0.0,3.0,0.0,0.0,1,1.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0
-0.10178647828018583,-0.3000000000000007,3.0,0.0,0.0,1,3.875,0.0,0,0,0,1,0,0,0,0,0,0,0,0
-0.03679863284791196,-0.4000000000000004,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
-0.00529998780978147,-0.3000000000000007,3.0,0.0,0.0,1,2.3846153846153846,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.17706580870600064,-0.5,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
