l1_ld_inflation_yearly,l1_diff_unemp_yearly
-0.2057117811998133,-0.10000000000000052
-0.2464494596548405,-0.20000000000000015
-0.2847775495832039,-0.39999999999999947
-0.2631283847184029,-0.10000000000000052
0.06293295026384982,-0.10000000000000052
-0.011988733084145052,0.10000000000000052
-0.023169823274926667,0.10000000000000052
0.24380724212464955,0.0
0.10716241452017884,0.09999999999999963
0.003951843402472122,0.20000000000000015
-0.4552788726389423,0.20000000000000015
-0.1389331682775108,0.20000000000000015
0.22226571067136547,-0.09999999999999963
0.008472056345443235,0.2999999999999998
0.6516628362126298,0.5
0.38894415449837183,0.6000000000000005
0.18190347087072567,0.6000000000000005
-0.09283204677794643,0.7999999999999998
-0.1949331014933442,0.8999999999999995
-0.3767742846286559,1.0
-0.3880505931370237,1.2999999999999998
-0.35472017359072794,1.5999999999999996
-0.029002226457297556,1.2999999999999998
0.18986733641899176,1.5
-0.2730391423296119,1.7000000000000002
-0.08944424722239219,1.2999999999999998
-0.4313182453009823,1.2000000000000002
-0.2682703584873991,1.0
-0.3829475890140266,1.0999999999999996
0.09238636918240672,0.7999999999999998
0.15621565616834587,1.0
-0.2429122468806,0.8999999999999995
0.20185276465856106,0.8000000000000007
0.22002752154186567,0.6000000000000005
0.09077267728514472,0.7000000000000002
-0.2830436828602068,0.6999999999999993
0.010600418326500716,0.8999999999999995
0.1713767784598197,0.9000000000000004
-0.09825349296468387,0.6999999999999993
-0.1806879085579638,0.6999999999999993
0.165215532429297,0.2999999999999998
-0.02191206066504137,0.4000000000000004
-0.07706068090405083,0.10000000000000052
0.10809912035529834,0.0
-0.10178647828018583,-0.3000000000000007
-0.03679863284791196,-0.4000000000000004
-0.00529998780978147,-0.3000000000000007
0.17706580870600064,-0.5
-0.1441119757213727,-0.7999999999999998
-0.17058225178852027,-0.7999999999999998
0.03739763007466479,-0.7999999999999998
-0.05884344661941654,-0.8999999999999995
-0.038514344216533665,-0.5
-0.00738228176588862,-0.8000000000000007
-0.1506128949444019,-0.9000000000000004
-0.21067195203530176,-0.7000000000000002
0.08033255568680175,-0.5
0.07030797581855097,-0.5
-0.1469277145546677,-0.6999999999999993
-0.16427332944992654,-1.0
0.21030453169270655,-0.9000000000000004
0.15593565686939925,-0.8000000000000007
0.057248986850844126,-0.7999999999999998
0.007614292678237433,-0.7999999999999998
