l1_ld_inflation_yearly,l1_diff_unemp_yearly,l2_diff_unemp,lag_DFEDTAR,target_change_last,target_change_last_fomc,d_meeting,scale,d_y2k,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
2.5904776046991707,0.6999999999999993,0.0,3.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
2.601078023025672,0.8999999999999995,0.1999999999999993,3.75,0.0,0.0,1,1.0333333333333334,0.0,0,0,0,0,0,0,0,1,0,0,0,0
2.7724548014854906,0.9000000000000004,0.20000000000000015,3.25,-0.5,-0.5,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,1,0,0,0
2.6742013085208067,0.6999999999999993,-0.09999999999999963,3.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
2.4935133999628434,0.6999999999999993,-0.10000000000000052,3.0,-0.25,-0.25,1,1.24,0.0,0,0,0,0,0,0,0,0,0,0,1,0
2.6587289323921404,0.2999999999999998,0.0,3.0,0.0,0.0,1,2.3076923076923075,0.0,0,0,0,0,0,0,0,0,0,0,0,1
2.636816871727099,0.4000000000000004,-0.2999999999999998,3.0,0.0,0.0,1,3.4444444444444446,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2.559756190823048,0.10000000000000052,0.10000000000000052,3.0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
2.6678553111783465,0.0,0.0,3.0,0.0,0.0,1,1.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0
2.5660688328981607,-0.3000000000000007,-0.10000000000000052,3.0,0.0,0.0,1,3.875,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2.5292702000502487,-0.4000000000000004,-0.20000000000000015,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
2.5239702122404672,-0.3000000000000007,-0.09999999999999963,3.0,0.0,0.0,1,2.3846153846153846,0.0,0,0,0,0,0,1,0,0,0,0,0,0
2.7010360209464683,-0.5,0.09999999999999963,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
2.556924045225095,-0.7999999999999998,0.0,3.0,0.0,0.0,1,1.2916666666666667,0.0,0,0,0,0,0,0,0,1,0,0,0,0
2.3863417934365754,-0.7999999999999998,-0.09999999999999963,3.0,0.0,0.0,1,2.2142857142857144,0.0,0,0,0,0,0,0,0,0,1,0,0,0
2.42373942351124,-0.7999999999999998,-0.09999999999999963,3.0,0.0,0.0,1,3.333333333333333,0.0,0,0,0,0,0,0,0,0,0,1,0,0
2.364895976891823,-0.8999999999999995,-0.10000000000000052,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
2.326381632675289,-0.5,-0.09999999999999963,3.0,0.0,0.0,1,2.142857142857143,0.0,0,0,0,0,0,0,0,0,0,0,0,1
2.318999350909401,-0.8000000000000007,0.09999999999999963,3.0,0.0,0.0,1,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2.168386455964999,-0.9000000000000004,-0.20000000000000015,3.0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
1.9577145039296973,-0.7000000000000002,-0.09999999999999963,3.0,0.0,0.0,1,1.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0
2.038047059616499,-0.5,0.09999999999999963,3.25,0.25,0.25,1,3.1,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2.10835503543505,-0.5,0.0,3.5,0.25,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
1.9614273208803823,-0.6999999999999993,-0.09999999999999963,3.75,0.25,0.25,1,2.066666666666667,0.0,0,0,0,0,0,1,0,0,0,0,0,0
1.7971539914304555,-1.0,-0.09999999999999963,4.25,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0074585231231623,-0.9000000000000004,-0.3000000000000007,4.25,0.0,0.0,1,1.1923076923076923,0.0,0,0,0,0,0,0,0,1,0,0,0,0
2.1633941799925616,-0.8000000000000007,0.0,4.25,0.0,0.0,1,1.9375,0.0,0,0,0,0,0,0,0,0,1,0,0,0
2.2206431668434057,-0.7999999999999998,0.0,4.75,0.5,0.5,1,7.5,0.0,0,0,0,0,0,0,0,0,0,1,0,0
2.228257459521643,-0.7999999999999998,-0.09999999999999963,4.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
2.083051977499561,-1.0,-0.09999999999999963,4.75,0.0,0.0,1,1.875,0.0,0,0,0,0,0,0,0,0,0,0,0,1
