l1_ld_inflation_quarterly,l1_diff_unemp_quarterly,l2_diff_unemp,lag_DFEDTAR,target_change_last,target_change_last_fomc,d_meeting,scale,d_y2k,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
0.5813578862068347,0.39999999999999947,0.1999999999999993,3.75,0.0,0.0,1,1.0333333333333334,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.6392178335834053,0.2999999999999998,0.20000000000000015,3.25,-0.5,-0.5,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.6413473864016694,0.0,-0.09999999999999963,3.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.6253966237333763,-0.20000000000000015,-0.10000000000000052,3.0,-0.25,-0.25,1,1.24,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.6499153118057599,-0.4000000000000004,0.0,3.0,0.0,0.0,1,2.3076923076923075,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.7123989986641099,-0.1999999999999993,-0.2999999999999998,3.0,0.0,0.0,1,3.4444444444444446,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.7230049348620149,-0.1999999999999993,0.10000000000000052,3.0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.6134582426748914,0.0,0.0,3.0,0.0,0.0,1,1.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.5683377146121771,-0.3000000000000007,-0.10000000000000052,3.0,0.0,0.0,1,3.875,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.5995107552480228,-0.4000000000000004,-0.20000000000000015,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.6213788241764107,-0.20000000000000015,-0.09999999999999963,3.0,0.0,0.0,1,2.3846153846153846,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.7789519212685114,0.0,0.09999999999999963,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.6090117313816812,0.0,0.0,3.0,0.0,0.0,1,1.2916666666666667,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.5015894147795129,-0.1999999999999993,-0.09999999999999963,3.0,0.0,0.0,1,2.2142857142857144,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.3640507889664413,-0.2999999999999998,-0.09999999999999963,3.0,0.0,0.0,1,3.333333333333333,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.4333685554001043,-0.2999999999999998,-0.10000000000000052,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.5899551510444745,-0.10000000000000052,-0.09999999999999963,3.0,0.0,0.0,1,2.142857142857143,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.6076589260622711,-0.20000000000000015,0.09999999999999963,3.0,0.0,0.0,1,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5264954139351907,-0.20000000000000015,-0.20000000000000015,3.0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.2447911139292991,-0.20000000000000015,-0.09999999999999963,3.0,0.0,0.0,1,1.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.2873854233192752,0.0,0.09999999999999963,3.25,0.25,0.25,1,3.1,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.5394793347180737,0.0,0.0,3.5,0.25,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.6250916411270957,-0.1999999999999993,-0.09999999999999963,3.75,0.25,0.25,1,2.066666666666667,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.5380588530824681,-0.5,-0.09999999999999963,4.25,0.5,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.5081152190697935,-0.4000000000000004,-0.3000000000000007,4.25,0.0,0.0,1,1.1923076923076923,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.7035562738916923,-0.3000000000000007,0.0,4.25,0.0,0.0,1,1.9375,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.7875399643793912,-0.09999999999999963,0.0,4.75,0.5,0.5,1,7.5,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.6541674917985851,-0.1999999999999993,-0.09999999999999963,4.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.5096129485514744,-0.2999999999999998,-0.09999999999999963,4.75,0.0,0.0,1,1.875,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.4718189286710306,-0.4000000000000004,-0.10000000000000052,5.5,0.75,0.75,1,2.583333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4248268624233553,-0.4000000000000004,-0.20000000000000015,5.5,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.4564416805409088,-0.20000000000000015,-0.09999999999999963,5.5,0.0,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.4429483650076449,-0.1999999999999993,0.09999999999999963,6.0,0.5,0.5,1,7.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.563176051551828,-0.09999999999999963,-0.1999999999999993,6.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.6249232180151942,0.20000000000000015,0.0,6.0,0.0,0.0,1,3.4444444444444446,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.6015097800990965,0.1999999999999993,0.39999999999999947,6.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.5140537665115019,0.1999999999999993,-0.20000000000000015,6.0,0.0,0.0,1,1.1923076923076923,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.3764277312867215,-0.09999999999999963,0.0,5.75,-0.25,-0.25,1,3.1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.438356103799098,0.10000000000000052,0.10000000000000052,5.75,0.0,0.0,1,6.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.4087937949988074,0.0,0.0,5.75,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.5426235428431347,-0.20000000000000015,-0.10000000000000052,5.75,0.0,0.0,1,1.875,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.3243965469883925,-0.10000000000000052,-0.09999999999999963,5.75,0.0,0.0,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4485802504641256,0.0,0.09999999999999963,5.5,-0.25,-0.25,1,31.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.4115914210866656,0.09999999999999963,0.0,5.25,-0.25,-0.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.5713670350925959,-0.09999999999999963,0.0,5.25,0.0,0.0,1,5.166666666666667,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.6800967882582221,-0.09999999999999963,-0.09999999999999963,5.25,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.7579642752588711,0.0,0.0,5.25,0.0,0.0,1,2.8181818181818183,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.7731679295979177,0.09999999999999963,0.09999999999999963,5.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.4708725301136418,-0.20000000000000015,0.0,5.25,0.0,0.0,1,1.0689655172413792,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.3822895580541719,-0.09999999999999963,-0.2999999999999998,5.25,0.0,0.0,1,2.583333333333333,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.3054228523315494,-0.5,0.20000000000000015,5.25,0.0,0.0,1,4.285714285714286,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.5882049528151079,-0.09999999999999963,-0.4000000000000004,5.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.6790459729507425,-0.2999999999999998,0.10000000000000052,5.25,0.0,0.0,1,1.6666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.7622029468026703,0.3000000000000007,0.0,5.25,0.0,0.0,1,2.066666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.595562128512217,0.20000000000000015,0.20000000000000015,5.25,0.0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.422747946907176,0.09999999999999963,0.0,5.25,0.0,0.0,1,1.1666666666666667,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.4542796977166752,-0.20000000000000015,-0.10000000000000052,5.25,0.0,0.0,1,4.428571428571429,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.4443554069777811,-0.20000000000000015,-0.09999999999999963,5.5,0.25,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.4129152666704883,-0.20000000000000015,0.0,5.5,0.0,0.0,1,2.583333333333333,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.1572359063640505,-0.2999999999999998,-0.10000000000000052,5.5,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.1812141842925996,-0.20000000000000015,-0.1999999999999993,5.5,0.0,0.0,1,1.0333333333333334,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.14217503333799894,-0.1999999999999993,0.09999999999999963,5.5,0.0,0.0,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.2682081292395999,-0.10000000000000052,-0.09999999999999963,5.5,0.0,0.0,1,30.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.3801522508204869,-0.09999999999999963,-0.10000000000000052,5.5,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
