l1_ld_inflation,l1_diff_unemp,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
0.21915198634099295,0.09999999999999963,0,0,0,0,0,0,1,0,0,0,0
0.23837913552764434,-0.09999999999999963,0,0,0,0,0,0,0,1,0,0,0
0.011493592334943514,0.0,0,0,0,0,0,0,0,0,1,0,0
0.22304232288794526,0.09999999999999963,0,0,0,0,0,0,0,0,0,1,0
0.38913099689690256,0.0,0,0,0,0,0,0,0,0,0,0,1
0.21842611540083826,0.10000000000000052,0,0,0,0,0,0,0,0,0,0,0
0.28941227276790826,0.0,1,0,0,0,0,0,0,0,0,0,0
0.7553431301497326,0.0,0,1,0,0,0,0,0,0,0,0,0
0.4389321558361914,-0.10000000000000052,0,0,1,0,0,0,0,0,0,0,0
0.37629847207147904,-0.09999999999999963,0,0,0,1,0,0,0,0,0,0,0
0.20915332490609728,0.20000000000000015,0,0,0,0,1,0,0,0,0,0,0
0.22463148390485801,0.0,0,0,0,0,0,1,0,0,0,0,0
0.4414176970123585,-0.20000000000000015,0,0,0,0,0,0,1,0,0,0,0
0.2468511918730876,0.2999999999999998,0,0,0,0,0,0,0,1,0,0,0
0.6631564285475733,0.20000000000000015,0,0,0,0,0,0,0,0,1,0,0
0.6119864773863171,0.20000000000000015,0,0,0,0,0,0,0,0,0,1,0
0.5710344677676282,0.0,0,0,0,0,0,0,0,0,0,0,1
0.1255940686228918,0.2999999999999998,0,0,0,0,0,0,0,0,0,0,0
0.09447917127456408,0.09999999999999963,1,0,0,0,0,0,0,0,0,0,0
0.3785688455210767,0.10000000000000052,0,1,0,0,0,0,0,0,0,0,0
0.05088156269916766,0.1999999999999993,0,0,1,0,0,0,0,0,0,0,0
0.0215782984807511,0.20000000000000015,0,0,0,1,0,0,0,0,0,0,0
0.18015109844879973,-0.09999999999999963,0,0,0,0,1,0,0,0,0,0,0
0.41449882032384977,0.20000000000000015,0,0,0,0,0,1,0,0,0,0,0
0.16837855468274654,0.0,0,0,0,0,0,0,1,0,0,0,0
0.15740694465069538,-0.10000000000000052,0,0,0,0,0,0,0,1,0,0,0
0.23183818324659103,0.10000000000000052,0,0,0,0,0,0,0,0,1,0,0
0.34371611889891795,0.0,0,0,0,0,0,0,0,0,0,1,0
0.18808687875360164,0.09999999999999963,0,0,0,0,0,0,0,0,0,0,1
0.21798043780529847,0.0,0,0,0,0,0,0,0,0,0,0,0
0.25069482744290994,0.2999999999999998,1,0,0,0,0,0,0,0,0,0,0
0.13565659864047674,0.0,0,1,0,0,0,0,0,0,0,0,0
0.2527343273577287,0.10000000000000052,0,0,1,0,0,0,0,0,0,0,0
0.2416058200226168,0.0,0,0,0,1,0,0,0,0,0,0,0
0.27092377573394444,0.0,0,0,0,0,1,0,0,0,0,0,0
0.131455137463643,0.1999999999999993,0,0,0,0,0,1,0,0,0,0,0
0.17897897300924726,0.20000000000000015,0,0,0,0,0,0,1,0,0,0,0
0.3287837231105151,-0.09999999999999963,0,0,0,0,0,0,0,1,0,0,0
0.13358469028190711,-0.10000000000000052,0,0,0,0,0,0,0,0,1,0,0
0.16302821034095416,0.0,0,0,0,0,0,0,0,0,0,1,0
0.3533024111828986,-0.2999999999999998,0,0,0,0,0,0,0,0,0,0,1
0.1960683771402572,0.10000000000000052,0,0,0,0,0,0,0,0,0,0,0
0.1736341465388591,0.0,1,0,0,0,0,0,0,0,0,0,0
0.2437557189957751,-0.10000000000000052,0,1,0,0,0,0,0,0,0,0,0
0.15094784907754288,-0.20000000000000015,0,0,1,0,0,0,0,0,0,0,0
0.2048071871747048,-0.09999999999999963,0,0,0,1,0,0,0,0,0,0,0
0.26562378792416297,0.09999999999999963,0,0,0,0,1,0,0,0,0,0,0
0.30852094616964365,0.0,0,0,0,0,0,1,0,0,0,0,0
0.03486699728787457,-0.09999999999999963,0,0,0,0,0,0,1,0,0,0,0
0.1582014713219948,-0.09999999999999963,0,0,0,0,0,0,0,1,0,0,0
0.1709823203565719,-0.10000000000000052,0,0,0,0,0,0,0,0,1,0,0
0.10418476372153762,-0.09999999999999963,0,0,0,0,0,0,0,0,0,1,0
0.31478806696636497,0.09999999999999963,0,0,0,0,0,0,0,0,0,0,1
0.18868609537436853,-0.20000000000000015,0,0,0,0,0,0,0,0,0,0,0
0.023021251594457226,-0.09999999999999963,1,0,0,0,0,0,0,0,0,0,0
0.033083766960473326,0.09999999999999963,0,1,0,0,0,0,0,0,0,0,0
0.23128040476434464,0.0,0,0,1,0,0,0,0,0,0,0,0
0.2751151629932558,-0.09999999999999963,0,0,0,1,0,0,0,0,0,0,0
0.11869607336949528,-0.09999999999999963,0,0,0,0,1,0,0,0,0,0,0
0.1442476167197171,-0.3000000000000007,0,0,0,0,0,1,0,0,0,0,0
0.24517152898058114,0.0,0,0,0,0,0,0,1,0,0,0,0
0.31413712819139405,0.0,0,0,0,0,0,0,0,1,0,0,0
0.228231307207416,-0.09999999999999963,0,0,0,0,0,0,0,0,1,0,0
0.11179905639977504,-0.09999999999999963,0,0,0,0,0,0,0,0,0,1,0
0.16958258494428335,-0.10000000000000052,0,0,0,0,0,0,0,0,0,0,1
0.19043728732697215,-0.20000000000000015,0,0,0,0,0,0,0,0,0,0,0
0.06480699015209979,-0.09999999999999963,1,0,0,0,0,0,0,0,0,0,0
0.20119740306183687,0.09999999999999963,0,1,0,0,0,0,0,0,0,0,0
0.17694397179370824,-0.1999999999999993,0,0,1,0,0,0,0,0,0,0,0
0.18503467669628293,0.0,0,0,0,1,0,0,0,0,0,0,0
0.26294456952520306,0.39999999999999947,0,0,0,0,1,0,0,0,0,0,0
0.1535305338776105,-0.20000000000000015,0,0,0,0,0,1,0,0,0,0,0
0.09757866310868836,0.0,0,0,0,0,0,0,1,0,0,0,0
0.1253185343004226,0.10000000000000052,0,0,0,0,0,0,0,1,0,0,0
0.215458906389987,0.0,0,0,0,0,0,0,0,0,1,0,0
0.06801635430839781,-0.10000000000000052,0,0,0,0,0,0,0,0,0,1,0
0.25914828214474994,-0.09999999999999963,0,0,0,0,0,0,0,0,0,0,1
-0.002768089464755264,0.09999999999999963,0,0,0,0,0,0,0,0,0,0,0
0.19220005778413096,0.0,1,0,0,0,0,0,0,0,0,0,0
0.22215945276728988,0.0,0,1,0,0,0,0,0,0,0,0,0
0.15700752454117506,-0.09999999999999963,0,0,1,0,0,0,0,0,0,0,0
0.3009298109497571,0.0,0,0,0,1,0,0,0,0,0,0,0
0.3000269397679389,0.09999999999999963,0,0,0,0,1,0,0,0,0,0,0
0.17221117888022164,0.0,0,0,0,0,0,1,0,0,0,0,0
-0.0013655885345187355,-0.2999999999999998,0,0,0,0,0,0,1,0,0,0,0
0.21144396770846896,0.20000000000000015,0,0,0,0,0,0,0,1,0,0,0
0.0953444731575992,-0.4000000000000004,0,0,0,0,0,0,0,0,1,0,0
0.2814165119490397,0.10000000000000052,0,0,0,0,0,0,0,0,0,1,0
0.3022849878441036,0.0,0,0,0,0,0,0,0,0,0,0,1
0.17850144700952694,0.20000000000000015,0,0,0,0,0,0,0,0,0,0,0
0.11477569365858642,0.0,1,0,0,0,0,0,0,0,0,0,0
0.1294708062390626,-0.10000000000000052,0,1,0,0,0,0,0,0,0,0,0
