l1_ld_inflation,l1_diff_unemp,l2_diff_unemp,lag_DFEDTAR,target_change_last,target_change_last_fomc,d_meeting,scale,d_y2k,d_nineeleven,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11
0.21915198634099295,0.09999999999999963,0.0,9.5625,-0.25,-0.25,1,1.24,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.23837913552764434,-0.09999999999999963,0.09999999999999963,9.0625,-0.5,-0.5,1,3.4444444444444446,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.011493592334943514,0.0,-0.09999999999999963,9.0625,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.22304232288794526,0.09999999999999963,0.0,9.0625,0.0,0.0,1,1.1071428571428572,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.38913099689690256,0.0,0.09999999999999963,8.75,-0.3125,-0.3125,1,1.875,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.21842611540083826,0.10000000000000052,0.0,8.5,-0.25,-0.25,1,2.583333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.28941227276790826,0.0,0.10000000000000052,8.25,-0.25,-0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.7553431301497326,0.0,0.0,8.25,0.0,0.0,1,1.3333333333333333,0.0,0,0,1,0,0,0,0,0,0,0,0,0
0.4389321558361914,-0.10000000000000052,0.0,8.25,0.0,0.0,1,7.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0
0.37629847207147904,-0.09999999999999963,-0.10000000000000052,8.25,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
0.20915332490609728,0.20000000000000015,-0.09999999999999963,8.25,0.0,0.0,1,1.9375,0.0,0,0,0,0,0,1,0,0,0,0,0,0
0.22463148390485801,0.0,0.20000000000000015,8.25,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.4414176970123585,-0.20000000000000015,0.0,8.25,0.0,0.0,1,1.1071428571428572,0.0,0,0,0,0,0,0,0,1,0,0,0,0
0.2468511918730876,0.2999999999999998,-0.20000000000000015,8.0,-0.25,-0.25,1,3.1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
0.6631564285475733,0.20000000000000015,0.2999999999999998,8.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
0.6119864773863171,0.20000000000000015,0.20000000000000015,8.0,0.0,0.0,1,1.0689655172413792,0.0,0,0,0,0,0,0,0,0,0,0,1,0
0.5710344677676282,0.0,0.20000000000000015,7.75,-0.25,-0.25,1,1.7647058823529411,0.0,0,0,0,0,0,0,0,0,0,0,0,1
0.1255940686228918,0.2999999999999998,0.0,7.5,-0.25,-0.25,1,2.3846153846153846,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.09447917127456408,0.09999999999999963,0.2999999999999998,7.0,-0.5,-0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
0.3785688455210767,0.10000000000000052,0.09999999999999963,6.75,-0.25,-0.25,1,1.2727272727272727,0.0,0,0,1,0,0,0,0,0,0,0,0,0
