,Date,content
1277,1980-01-08," M-1B? We have [some of the data] in process; they are not yet flowing in We have the historical monthly data but we are in the process [of putting together] quarterly data and weekly data   That is the schedule As far as we know we will have them at the end of the month, yes   There may be a somewhat greater delay, hopefuly not too much greater "
1547,1980-08-22, And that's not seasonally adjusted 
