DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,.084289744,,,,,.28959391,,,,,.25187933,,,,,0,,,,,.093655363,,,,,2.8096609,,,,,0,,
,,-.039202254,,,,,.027998308,,,,,.24378964,,,,,-.078842156,,,,,0,,,,,2.3652647,,,,,0,,
,,.0035668944,,,,,.14192533,,,,,.031841692,,,,,-.089664981,,,,,-.089664981,,,,,2.6899493,,,,,0,,
,,-.088207915,,,,,.13406493,,,,,.12362863,,,,,-.078105569,,,,,-.078105569,,,,,2.3431671,,,,,0,,
,,.02997792,,,,,.080542587,,,,,.12863971,,,,,-.074944869,,,,,-.074944869,,,,,2.2483461,,,,,0,,
,,-.014641192,,,,,.233153,,,,,.080251247,,,,,.074673772,,,,,-.074673772,,,,,2.2402132,,,,,0,,
,,.15564024,,,,,.14408463,,,,,.24249661,,,,,-.15533265,,,,,.077666327,,,,,2.3299899,,,,,0,,
,,.090743169,,,,,.016366944,,,,,.14028718,,,,,-.075619377,,,,,-.15123875,,,,,2.2685812,,,,,0,,
,,,.044388,,,,,.011167488,,,,,.0074470057,,,,,.034407031,,,,,-.034407031,,,,,1.0322108,,,,,0,
,,,.037156951,,,,,.044863459,,,,,.0063419705,,,,,0,,,,,.019539611,,,,,.63503736,,,,,.048849028,
,,,.08462818,,,,,.26095572,,,,,.21589856,,,,,-.094031401,,,,,0,,,,,3.2910991,,,,,.23507851,
,,,,.014730686,,,,,.0057905708,,,,,.013738074,,,,,-.0049503054,,,,,-.0049503054,,,,,.18563645,,,,,.012375764
,,.084214024,,,,,.20354412,,,,,.16418104,,,,,-.42107055,,,,,-.14035684,,,,,5.9651661,,,,,.70178419,,
,,.13478246,,,,,.20354132,,,,,.12304365,,,,,0,,,,,-.25453967,,,,,3.6059785,,,,,0,,
,,,,.037269548,,,,,.037870564,,,,,.028682383,,,,,0,,,,,0,,,,,.50814283,,,,,0
,,.023580993,,,,,.26657572,,,,,.37933555,,,,,-.11976189,,,,,0,,,,,5.6886897,,,,,.59880948,,
,,.17891607,,,,,.095228896,,,,,.18964086,,,,,-.085198112,,,,,-.085198112,,,,,4.0469103,,,,,0,,
,,,,.023380656,,,,,.0063380352,,,,,.0041979705,,,,,-.0037557839,,,,,-.0037557839,,,,,.17839974,,,,,0
,,.80916643,,,,,.56865674,,,,,.49218279,,,,,-.58331394,,,,,-.29165697,,,,,16.041134,,,,,2.1874273,,
,,.14370012,,,,,.050091811,,,,,.14746237,,,,,-.075631618,,,,,-.15126324,,,,,4.159739,,,,,0,,
,,,,.034820389,,,,,.014820463,,,,,.0050134775,,,,,.0075696488,,,,,-.0075696488,,,,,.4163307,,,,,0
,,-.12850721,,,,,.1398688,,,,,.16201854,,,,,-.16550408,,,,,.082752042,,,,,4.9651222,,,,,.41376019,,
,,.031052878,,,,,.13815123,,,,,.13121527,,,,,0,,,,,-.15526454,,,,,4.6579361,,,,,0,,
,,-.035484385,,,,,.2019469,,,,,.13799323,,,,,.31017393,,,,,0,,,,,4.6526093,,,,,0,,
,,-.0075610629,,,,,.111156,,,,,.19690864,,,,,-.15121779,,,,,.30243558,,,,,4.5365338,,,,,0,,
,-.086785242,,,,,.027654491,,,,,.044941779,,,,,0,,,,,-.061139267,,,,,1.834178,,,,,0,,,
,,-.057583809,,,,,.10721048,,,,,.077952377,,,,,.086169571,,,,,0,,,,,4.9547501,,,,,-.21542391,,
,,-.54506934,,,,,.42016366,,,,,.24380022,,,,,0,,,,,.19595248,,,,,11.267267,,,,,0,,
,,0,,,,,.057023294,,,,,.17669982,,,,,-.082407802,,,,,0,,,,,4.7384486,,,,,0,,
,,-.093159005,,,,,.20923588,,,,,.056671031,,,,,-.081898719,,,,,-.081898719,,,,,4.7091765,,,,,0,,
,-.019873882,,,,,.00081950694,,,,,.080415361,,,,,.031476032,,,,,-.031476032,,,,,1.8098719,,,,,0,,,
,-.21181424,,,,,.074768424,,,,,.0010045891,,,,,0,,,,,.038584761,,,,,2.1221619,,,,,-.0964619,,,
,,.015044759,,,,,.17084248,,,,,.14576662,,,,,0,,,,,0,,,,,3.9492531,,,,,-.18805967,,
,,.26562059,,,,,.19170865,,,,,.28246239,,,,,-.12437136,,,,,0,,,,,6.5294967,,,,,0,,
,,.023148561,,,,,.22936206,,,,,.1189381,,,,,0,,,,,-.077161327,,,,,4.0509696,,,,,0,,
,,-.046889067,,,,,.22044535,,,,,.2220647,,,,,.074706376,,,,,0,,,,,3.9220846,,,,,0,,
,,.038064238,,,,,.13016462,,,,,.22464086,,,,,0,,,,,.076128177,,,,,3.9967296,,,,,0,,
,,-.016977303,,,,,0,,,,,.1344734,,,,,-.23594466,,,,,0,,,,,4.1290312,,,,,0,,
,,.020774938,,,,,.16896313,,,,,0,,,,,.15865429,,,,,-.23798142,,,,,4.1646748,,,,,0,,
,,-.0036638761,,,,,.072904535,,,,,.15948613,,,,,-.29951099,,,,,.14975549,,,,,3.9310818,,,,,0,,
,,.022417916,,,,,.20448767,,,,,.072756656,,,,,.074725866,,,,,-.29890347,,,,,3.9231079,,,,,0,,
,,-.00035639375,,,,,.22766431,,,,,.20880216,,,,,0,,,,,.076302506,,,,,4.0058818,,,,,0,,
,,.10230639,,,,,.16900884,,,,,.27340445,,,,,.18326497,,,,,0,,,,,4.8107052,,,,,0,,
,,.093491592,,,,,.098233864,,,,,.15676145,,,,,0,,,,,.1699845,,,,,4.4620934,,,,,0,,
,,.02983528,,,,,.10070223,,,,,.090842336,,,,,-.078597076,,,,,0,,,,,4.1263466,,,,,0,,
,,,.042826265,,,,,.083894469,,,,,.051753547,,,,,-.040393125,,,,,-.040393125,,,,,2.1206391,,,,,0,
,,0,,,,,.081481621,,,,,.16523111,,,,,0,,,,,-.079554722,,,,,4.3755097,,,,,.19888681,,
,,.036046375,,,,,.076880425,,,,,.084235363,,,,,-.082243346,,,,,0,,,,,4.5233841,,,,,0,,
,,.023642072,,,,,-.030852349,,,,,.073667549,,,,,-.15761271,,,,,-.078806356,,,,,4.3343496,,,,,0,,
,,-.031268116,,,,,.11214109,,,,,-.035129961,,,,,.089732684,,,,,-.17946537,,,,,4.9352975,,,,,0,,
