ffed,pceh,ip,unrate,date,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
5.6599998,69.825996,61.599998,6.9000001,31aug1991,-.25,.070000172,5.75,0,0,2.818181818181818,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.1580210353101847,-.1000000000000005,.1683514193080669,0,0,0
5.4499998,70.066002,62.099998,6.9000001,30sep1991,-.25,-.010000229,5.5,-.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.2294039373845749,.1000000000000005,.1580210353101847,-.1000000000000005,0,0
5.21,70.195999,62,7,31oct1991,-.25,-.070723698,5.25,-.25,-.25,1.033333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.3431221734846304,0,.2294039373845749,.1000000000000005,0,0
4.8099999,70.347,61.900002,7,30nov1991,-.25,-.10454795,5,-.25,-.25,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.1853674369744454,.0999999999999996,.3431221734846304,0,0,0
4.4299998,70.518997,61.700001,7.3000002,31dec1991,-.5,-.03000021,4.75,-.25,-.25,2.384615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.2148809376518557,0,.1853674369744454,.0999999999999996,0,0
4.0300002,70.612,61.299999,7.3000002,31jan1992,0,-.019999981,4,-.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2442038326885836,.2999999999999998,.2148809376518557,0,0,0
4.0599999,70.788002,61.799999,7.4000001,29feb1992,0,-.080777429,4,0,0,1.208333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.1317924672271715,0,.2442038326885836,.2999999999999998,0,0
3.98,70.960999,62.299999,7.4000001,31mar1992,0,-.019999981,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.2489393081901881,.1000000000000005,.1317924672271715,0,0,0
3.73,71.152,62.700001,7.4000001,30apr1992,-.25,.03000021,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.2440935539536326,0,.2489393081901881,.1000000000000005,0,0
3.8199999,71.247002,63,7.5999999,31may1992,0,-.17779186,3.75,-.25,-.25,2.583333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.2688003419865481,0,.2440935539536326,0,0,0
