,start_date,content
6949,1990-12-18,think fair exchang_market distinct discount_rate feder_fund_rate quit wide appreci symbol influenc discount_rate probabl carri greater weight exchang_market domest simpli exchang_market look lot central_bank discount_rate central_bank import polici instrument might littl exchang_market come interpret domest market action
6951,1990-12-18,look press releas sure anyth comfort press releas help
