start_date,Var1
1970-12-15,Deletion of the word "some" from the statement that "the Committee
seeks to promote some easing of conditions in credit markets" is
suggested because of the greater degree of credit market easing likely
to ensue under this policy course..
(19) Alternative D.
2000-03-21,Alternative D
would raise the federal funds rate 50 basis points.
