year,month,market_exp
1988.0,1.0,
1988.0,2.0,
1988.0,3.0,
1988.0,4.0,
1988.0,5.0,
1988.0,6.0,
1988.0,7.0,
1988.0,8.0,
1988.0,9.0,
1988.0,10.0,
1988.0,11.0,
1988.0,12.0,0.8112500000000233
1989.0,1.0,0.4025000000000034
1989.0,2.0,0.29374999999999307
1989.0,3.0,0.40293333333328535
1989.0,4.0,0.3499999999999943
1989.0,5.0,0.0685000000000133
1989.0,6.0,-0.13249999999999318
1989.0,7.0,-0.3414749999999989
1989.0,8.0,-0.019652787911110147
1989.0,9.0,-0.13249999999999318
1989.0,10.0,-0.12408482142857837
1989.0,11.0,0.07093749999998084
1989.0,12.0,0.32666666666665445
1990.0,1.0,-0.01999999999999602
1990.0,2.0,-0.031071428571430196
1990.0,3.0,0.09188000000000866
1990.0,4.0,0.04000000000000625
1990.0,5.0,0.03671875000003608
1990.0,6.0,0.0
1990.0,7.0,-0.04241071428571553
1990.0,8.0,0.05499999999998264
1990.0,9.0,-0.09000000000000341
1990.0,10.0,-0.09724137931033759
1990.0,11.0,-0.05132352941173861
1990.0,12.0,0.640769230778698
1991.0,1.0,0.010000000000005116
1991.0,2.0,0.0986363636363586
1991.0,3.0,0.6355136000000176
1991.0,4.0,0.060000000000002274
1991.0,5.0,0.030882352941188136
1991.0,6.0,0.010000000000005116
1991.0,7.0,0.0862499999999994
1991.0,8.0,0.11477272743564935
1991.0,9.0,-0.010000000000005116
1991.0,10.0,-0.02691666666666258
1991.0,11.0,-0.07019999999999654
1991.0,12.0,0.1228571428571277
1992.0,1.0,-0.01999999999999602
1992.0,2.0,-0.05927083333332851
1992.0,3.0,-0.01999999999999602
1992.0,4.0,0.030000000000001137
1992.0,5.0,-0.08604166664534361
1992.0,6.0,0.01999999999999602
1992.0,7.0,-0.08849999999999818
1992.0,8.0,-0.030961538460738652
1992.0,9.0,-0.01999999999999602
1992.0,10.0,-0.054999999999999986
1992.0,11.0,0.14576923077395032
1992.0,12.0,0.378611108977786
1993.0,1.0,0.14000000000000057
1993.0,2.0,0.022000000000002535
1993.0,3.0,0.1321874719999734
1993.0,4.0,0.04000000000000625
1993.0,5.0,0.00826923076687719
1993.0,6.0,0.09000000000000341
1993.0,7.0,0.018854166666674735
1993.0,8.0,0.07464285714432503
1993.0,9.0,0.10583334968886608
1993.0,10.0,0.04000000000000625
1993.0,11.0,0.03250000000028399
1993.0,12.0,0.1977499996160035
1994.0,1.0,0.12000000000000455
1994.0,2.0,0.16200000000000178
1994.0,3.0,0.3112500014080107
1994.0,4.0,0.09000000000000341
1994.0,5.0,0.34033333333480315
1994.0,6.0,0.060000000000002274
1994.0,7.0,0.2511538461538423
1994.0,8.0,0.34734375000012346
1994.0,9.0,0.2981399999999708
1994.0,10.0,0.20999999999999375
1994.0,11.0,0.7360937500003787
1994.0,12.0,0.34062499990185197
1995.0,1.0,0.18999999999999773
1995.0,2.0,0.45999999999999375
1995.0,3.0,0.0994399999999914
1995.0,4.0,0.04000000000000625
1995.0,5.0,0.03444444444446179
1995.0,6.0,-0.010000000000005116
1995.0,7.0,-0.23471153846153922
1995.0,8.0,-0.011000000512015645
1995.0,9.0,0.04800000000000005
1995.0,10.0,0.0
1995.0,11.0,-0.032500000000014066
1995.0,12.0,0.0005769230776983929
1996.0,1.0,0.525000000000089
1996.0,2.0,0.01999999999999602
1996.0,3.0,0.27416719999997397
1996.0,4.0,0.030000000000001137
1996.0,5.0,0.016818181725103645
1996.0,6.0,0.04999999999999716
1996.0,7.0,0.06000000000000055
1996.0,8.0,0.06458333329920145
1996.0,9.0,0.20035730285715278
1996.0,10.0,0.030000000000001137
1996.0,11.0,0.06652777777777302
1996.0,12.0,0.13183333333416908
1997.0,1.0,0.10999999999999943
1997.0,2.0,0.035729166666673924
1997.0,3.0,0.2778576457142777
1997.0,4.0,0.0
1997.0,5.0,0.11520833335468425
1997.0,6.0,0.030000000000001137
1997.0,7.0,0.020833333333330376
1997.0,8.0,0.0021153846145982387
1997.0,9.0,0.8900000000000671
1997.0,10.0,0.030000000000001137
1997.0,11.0,0.07999999999998926
1997.0,12.0,0.14078125000024755
1998.0,1.0,0.060000000000002274
1998.0,2.0,-0.034100000000006354
1998.0,3.0,0.8900000000001607
1998.0,4.0,0.01999999999999602
1998.0,5.0,0.03038461538619095
1998.0,6.0,0.010000000000005116
1998.0,7.0,0.01999999999999602
1998.0,8.0,-0.015357142852751707
1998.0,9.0,0.03500000000006845
1998.0,10.0,-0.010000000000005116
1998.0,11.0,-0.1373214285648311
1998.0,12.0,0.14574999961597881
1999.0,1.0,0.04000000000000625
1999.0,2.0,-0.02201923076923688
1999.0,3.0,0.20349999999996451
1999.0,4.0,0.01999999999999602
1999.0,5.0,0.042857142860950166
1999.0,6.0,0.83000000000003
1999.0,7.0,0.01999999999999602
1999.0,8.0,0.23062502400000892
1999.0,9.0,0.030000000000001137
1999.0,10.0,0.05148148148148345
1999.0,11.0,0.13750000000106286
1999.0,12.0,-0.11590909081599363
2000.0,1.0,0.29000000000000625
2000.0,2.0,0.30812500000000226
2000.0,3.0,0.26704545470837515
2000.0,4.0,0.01999999999999602
2000.0,5.0,0.39406250000018167
2000.0,6.0,0.06853333333333954
2000.0,7.0,0.04000000000000625
2000.0,8.0,0.028999999744013787
2000.0,9.0,0.025000000000005684
2000.0,10.0,-0.016551724137926157
2000.0,11.0,0.021562500000011153
2000.0,12.0,-0.12769230769232245
2001.0,1.0,0.870000000000122
2001.0,2.0,-0.045000000000001705
