,start_date,end_date,event_type,statement_policy_change,statement_policy_action,d_statement,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,wsj_article_count,nyt_article_count,ft_article_count,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments,year
59,1947-06-05,1947-06-06,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1947
60,1947-10-06,1947-10-07,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1947
61,1947-12-09,1947-12-09,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1947
62,1948-02-27,1948-02-27,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
63,1948-03-01,1948-03-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
64,1948-05-20,1948-05-20,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
65,1948-10-04,1948-10-04,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
66,1948-11-15,1948-11-15,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
67,1948-11-30,1948-11-30,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1948
68,1949-02-28,1949-02-28,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
69,1949-03-01,1949-03-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
70,1949-05-03,1949-05-03,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
71,1949-06-28,1949-06-28,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
72,1949-08-05,1949-08-05,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
73,1949-12-13,1949-12-13,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1949
74,1950-02-28,1950-02-28,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
75,1950-03-01,1950-03-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
76,1950-06-13,1950-06-14,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
77,1950-08-18,1950-08-18,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
78,1950-09-28,1950-09-28,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
79,1950-10-11,1950-10-11,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
80,1950-10-30,1950-10-30,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
81,1950-11-27,1950-11-27,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1950
82,1951-01-31,1951-01-31,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
83,1951-02-06,1951-02-08,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
84,1951-03-01,1951-03-02,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
85,1951-03-08,1951-03-08,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
86,1951-05-17,1951-05-17,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
87,1951-10-04,1951-10-04,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
88,1951-11-14,1951-11-14,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1951
89,1952-02-29,1952-02-29,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1952
90,1952-03-01,1952-03-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1952
91,1952-06-19,1952-06-19,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1952
92,1952-09-25,1952-09-25,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1952
93,1952-12-08,1952-12-08,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1952
