,0,1,2,3,4,5,6,7,8,9
0,0.055890895,0.02385262,0.1843209,0.088726476,0.17203517,0.047495034,0.07914507,0.08282713,0.23363814,0.032068625
1,0.04564118,0.029733367,0.064293556,0.072480276,0.29583114,0.060068503,0.049997367,0.06685467,0.28963566,0.025464296
2,0.027148968,0.010649518,0.04204344,0.020650914,0.09682632,0.0123946,0.15657818,0.024515975,0.5717121,0.037480064
3,0.05301768,0.05064622,0.17863366,0.07046456,0.1467444,0.046032958,0.07841811,0.10006593,0.14630286,0.12967359
4,0.10774406,0.017885352,0.082767695,0.03495896,0.05760386,0.032263033,0.3248474,0.079825334,0.18387748,0.0782268
5,0.08133409,0.04731031,0.11326109,0.09108248,0.18133841,0.10288907,0.13090158,0.07312577,0.13121486,0.047542334
6,0.08350718,0.020655314,0.04906081,0.06475466,0.14876208,0.06780726,0.077862486,0.048379548,0.42492217,0.0142884655
7,0.06454556,0.02329376,0.087449305,0.070579745,0.19375889,0.05517298,0.071218826,0.0718435,0.3307271,0.03141029
8,0.110704616,0.02215905,0.06016234,0.06229756,0.116483696,0.22861663,0.11361151,0.07568136,0.1448436,0.06543969
9,0.090423554,0.021685448,0.080285735,0.03877029,0.15963824,0.04022003,0.17838757,0.0676682,0.24706696,0.07585397
10,0.026106318,0.016962588,0.049551055,0.008924444,0.14052443,0.01076421,0.5937352,0.029509382,0.03975658,0.08416586
11,0.03896904,0.029969458,0.09372269,0.05531789,0.21028118,0.03472439,0.07958455,0.058059033,0.34044552,0.058926247
12,0.116625026,0.035299465,0.191341,0.06374513,0.11826826,0.0438438,0.06432043,0.13976479,0.14771987,0.07907228
13,0.0903981,0.11477073,0.089973934,0.11004891,0.075475864,0.082780175,0.073750615,0.111083694,0.18317276,0.06854511
14,0.108391225,0.035537265,0.13381195,0.06261047,0.15276915,0.04722352,0.10235047,0.11124288,0.19664732,0.049415726
15,0.14042337,0.012846499,0.04003586,0.03335376,0.07275685,0.080553845,0.074973226,0.060643863,0.43191922,0.052493453
16,0.13742161,0.0074284696,0.03381735,0.033510547,0.22221847,0.12988864,0.087617755,0.045975436,0.29017547,0.011946195
