Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2000-02-23,1.566,0.682,0.25,0.083,0.071,0.48,1.555,0.08,-0.069
2000-02-24,1.654,0.758,0.265,-0.002,0.14,0.493,1.67,0.052,-0.068
2000-02-25,1.734,0.754,0.326,-0.049,0.196,0.507,1.779,0.017,-0.062
2000-02-28,1.657,0.753,0.29,0.008,0.087,0.519,1.675,0.042,-0.06
2000-02-29,1.597,0.859,0.246,-0.067,0.114,0.445,1.619,0.03,-0.052
2000-03-01,1.732,0.842,0.203,0.11,0.145,0.432,1.589,0.195,-0.052
2000-03-02,1.541,0.779,0.193,0.049,0.131,0.389,1.526,0.069,-0.054
2000-03-03,1.284,0.864,0.121,-0.006,0.068,0.237,1.264,0.076,-0.056
2000-03-06,1.512,0.881,0.169,0.012,0.084,0.366,1.448,0.12,-0.056
2000-03-07,1.909,0.899,0.27,0.055,0.083,0.602,1.721,0.216,-0.028
2000-03-08,2.019,0.874,0.238,0.041,0.151,0.715,1.791,0.205,0.023
2000-03-09,1.978,0.968,0.146,0.067,0.154,0.643,1.635,0.322,0.021
2000-03-10,1.83,0.945,0.166,0.068,0.067,0.584,1.503,0.303,0.024
2000-03-13,2.153,1.023,0.21,0.088,0.149,0.683,1.743,0.376,0.034
2000-03-14,2.392,1.015,0.282,0.121,0.187,0.787,1.951,0.402,0.039
2000-03-15,2.191,1.034,0.192,0.078,0.221,0.666,1.792,0.359,0.04
2000-03-16,1.981,1.061,0.007,0.085,0.258,0.57,1.572,0.383,0.026
2000-03-17,1.902,1.03,-0.007,0.02,0.224,0.635,1.578,0.294,0.03
2000-03-20,1.974,1.045,0.011,0.035,0.204,0.679,1.603,0.329,0.042
2000-03-21,1.625,1.071,-0.089,-0.068,0.181,0.53,1.345,0.24,0.04
2000-03-22,1.623,1.084,-0.103,-0.079,0.216,0.505,1.338,0.243,0.042
2000-03-23,1.695,1.13,-0.175,-0.022,0.249,0.513,1.349,0.309,0.037
2000-03-24,1.888,1.076,-0.177,0.105,0.297,0.587,1.473,0.381,0.034
2000-03-27,2.079,1.084,-0.161,0.067,0.43,0.659,1.708,0.338,0.033
2000-03-28,2.212,1.174,-0.118,0.05,0.398,0.708,1.777,0.398,0.037
2000-03-29,2.224,1.199,-0.12,0.004,0.407,0.734,1.781,0.396,0.047
2000-03-30,2.609,1.367,-0.061,0.03,0.484,0.789,2.086,0.473,0.05
2000-03-31,2.971,1.492,0.004,0.104,0.523,0.848,2.175,0.745,0.051
2000-04-03,2.848,1.499,-0.022,0.019,0.598,0.754,2.162,0.632,0.054
2000-04-04,3.008,1.555,0.012,0.015,0.58,0.846,2.316,0.632,0.06
2000-04-05,3.158,1.629,0.034,0.021,0.55,0.924,2.397,0.702,0.059
2000-04-06,2.743,1.528,-0.003,0.048,0.461,0.709,2.131,0.593,0.019
2000-04-07,2.373,1.549,-0.044,-0.027,0.493,0.402,1.901,0.498,-0.026
2000-04-10,2.654,1.623,-0.015,-0.076,0.658,0.464,2.175,0.499,-0.02
2000-04-11,2.669,1.574,-0.002,-0.088,0.647,0.538,2.261,0.419,-0.011
2000-04-12,3.022,1.616,0.088,-0.046,0.593,0.771,2.429,0.565,0.028
2000-04-13,3.042,1.574,0.163,-0.054,0.595,0.764,2.508,0.5,0.034
2000-04-14,4.116,1.667,0.406,0.041,0.967,1.035,3.39,0.685,0.041
2000-04-17,3.491,1.619,0.292,0.051,0.685,0.844,2.771,0.664,0.056
2000-04-18,3.003,1.579,0.166,0.005,0.617,0.636,2.384,0.571,0.048
2000-04-19,3.03,1.534,0.209,-0.03,0.715,0.602,2.49,0.492,0.048
2000-04-20,2.877,1.572,0.186,-0.089,0.673,0.535,2.365,0.467,0.045
2000-04-24,3.01,1.553,0.2,-0.078,0.72,0.615,2.493,0.472,0.045
2000-04-25,2.652,1.494,0.068,-0.15,0.671,0.569,2.245,0.365,0.042
2000-04-26,2.884,1.511,0.114,-0.146,0.79,0.615,2.486,0.353,0.045
2000-04-27,2.854,1.51,0.103,-0.191,0.811,0.621,2.49,0.311,0.053
2000-04-28,2.934,1.591,0.135,-0.25,0.88,0.578,2.604,0.289,0.041
2000-05-01,2.956,1.686,0.102,-0.228,0.859,0.537,2.568,0.348,0.04
2000-05-02,3.207,1.624,0.161,-0.21,0.959,0.673,2.835,0.319,0.053
2000-05-03,3.524,1.65,0.252,-0.235,0.971,0.886,3.143,0.325,0.056
2000-05-04,3.662,1.591,0.268,-0.21,1.165,0.848,3.295,0.319,0.048
2000-05-05,3.53,1.656,0.18,-0.181,1.186,0.689,3.111,0.372,0.047
2000-05-08,3.547,1.662,0.206,-0.177,1.108,0.748,3.131,0.362,0.054
2000-05-09,3.459,1.682,0.242,-0.166,0.945,0.756,3.062,0.353,0.044
2000-05-10,3.508,1.758,0.323,-0.209,0.894,0.742,3.109,0.376,0.023
2000-05-11,3.493,1.68,0.252,-0.184,1.08,0.665,3.108,0.354,0.031
2000-05-12,3.411,1.736,0.217,-0.058,1.008,0.508,2.945,0.457,0.009
2000-05-15,3.323,1.759,0.129,-0.161,1.179,0.417,2.932,0.389,0.002
2000-05-16,2.952,1.787,0.09,-0.228,0.948,0.355,2.622,0.334,-0.004
2000-05-17,3.393,1.762,0.144,-0.202,1.282,0.407,3.046,0.335,0.012
2000-05-18,3.703,1.786,0.175,-0.159,1.473,0.428,3.274,0.41,0.019
2000-05-19,4.086,1.865,0.264,-0.075,1.536,0.496,3.501,0.565,0.02
2000-05-22,4.148,1.923,0.284,-0.103,1.475,0.569,3.502,0.608,0.038
2000-05-23,4.377,2.012,0.362,-0.068,1.503,0.568,3.616,0.72,0.041
2000-05-24,4.205,2.124,0.286,-0.123,1.435,0.483,3.401,0.756,0.048
2000-05-25,4.597,2.215,0.337,-0.116,1.735,0.426,3.788,0.768,0.041
2000-05-26,4.754,2.257,0.348,-0.067,1.795,0.421,3.857,0.86,0.037
2000-05-30,4.715,2.203,0.215,-0.018,1.906,0.409,3.824,0.859,0.032
2000-05-31,5.007,2.324,0.226,-0.098,2.134,0.421,4.08,0.89,0.037
2000-06-01,4.564,2.285,0.139,-0.204,2.009,0.335,3.785,0.752,0.027
2000-06-02,4.352,2.419,0.057,-0.154,1.755,0.275,3.399,0.931,0.022
2000-06-05,4.235,2.449,0.087,-0.124,1.489,0.334,3.18,1.029,0.026
2000-06-06,4.222,2.363,0.116,-0.007,1.349,0.401,3.116,1.079,0.027
2000-06-07,4.414,2.318,0.077,0.049,1.565,0.405,3.259,1.13,0.025
2000-06-08,4.3,2.177,0.104,0.013,1.59,0.416,3.32,0.958,0.022
2000-06-09,4.185,2.216,0.119,-0.052,1.599,0.303,3.235,0.93,0.02
2000-06-12,4.281,2.218,0.151,-0.061,1.652,0.321,3.31,0.943,0.028
2000-06-13,4.103,2.24,0.082,-0.039,1.513,0.307,3.104,0.97,0.029
2000-06-14,4.108,2.204,0.081,-0.055,1.629,0.249,3.154,0.924,0.03
2000-06-15,3.977,2.193,0.061,-0.05,1.57,0.203,3.002,0.945,0.03
2000-06-16,4.146,2.247,0.103,-0.056,1.579,0.273,3.047,1.023,0.076
2000-06-19,4.051,2.192,0.008,-0.05,1.606,0.295,2.988,0.993,0.07
2000-06-20,4.192,2.182,0.041,-0.026,1.612,0.383,3.076,1.039,0.077
2000-06-21,4.053,2.112,0.026,0.003,1.529,0.383,2.97,1.016,0.067
2000-06-22,4.241,2.079,0.106,0.018,1.518,0.52,3.136,1.035,0.07
2000-06-23,4.255,2.043,0.134,0.037,1.507,0.534,3.162,1.028,0.065
2000-06-26,4.169,2.099,0.093,-0.03,1.551,0.456,3.113,0.991,0.065
2000-06-27,4.137,2.128,0.111,0.018,1.511,0.369,3.034,1.037,0.066
2000-06-28,3.956,2.092,0.096,-0.014,1.529,0.253,2.935,0.956,0.065
2000-06-29,4.177,2.173,0.133,-0.017,1.642,0.246,3.071,1.038,0.068
2000-06-30,4.302,2.265,0.188,-0.042,1.666,0.225,3.18,1.066,0.056
2000-07-03,4.1,2.202,0.149,-0.03,1.554,0.225,3.024,1.023,0.053
2000-07-05,3.946,2.196,0.221,-0.083,1.309,0.303,2.919,0.966,0.061
2000-07-06,3.904,2.116,0.237,-0.061,1.303,0.309,2.932,0.907,0.065
2000-07-07,3.564,2.125,0.171,-0.121,1.218,0.171,2.654,0.849,0.061
2000-07-10,3.551,2.036,0.181,-0.048,1.148,0.234,2.657,0.829,0.065
2000-07-11,3.457,2.053,0.166,-0.075,1.089,0.224,2.558,0.832,0.067
2000-07-12,3.153,2.048,0.133,-0.146,0.953,0.165,2.363,0.739,0.051
2000-07-13,3.107,2.04,0.126,-0.19,0.961,0.17,2.34,0.713,0.054
2000-07-14,3.098,2.004,0.088,-0.116,0.97,0.152,2.282,0.763,0.053
2000-07-17,3.165,2.003,0.095,-0.106,1.013,0.16,2.321,0.783,0.061
2000-07-18,3.075,1.993,0.144,-0.159,1.046,0.051,2.353,0.705,0.017
2000-07-19,2.973,1.963,0.181,-0.167,0.961,0.035,2.295,0.66,0.018
2000-07-20,2.877,2.005,0.144,-0.179,0.953,-0.046,2.183,0.683,0.011
2000-07-21,2.918,1.972,0.188,-0.231,1.006,-0.017,2.281,0.621,0.016
2000-07-24,2.913,1.93,0.236,-0.222,0.949,0.02,2.325,0.575,0.013
2000-07-25,2.807,1.995,0.207,-0.23,0.859,-0.024,2.171,0.624,0.012
2000-07-26,2.849,1.966,0.272,-0.24,0.893,-0.042,2.23,0.609,0.01
2000-07-27,2.927,2.028,0.281,-0.281,0.956,-0.057,2.304,0.615,0.008
2000-07-28,3.165,2.035,0.372,-0.303,1.03,0.031,2.548,0.606,0.011
2000-07-31,3.23,2.146,0.335,-0.283,1.013,0.019,2.56,0.68,-0.01
2000-08-01,3.083,2.169,0.317,-0.35,0.941,0.006,2.433,0.654,-0.004
2000-08-02,3.097,2.176,0.319,-0.328,0.952,-0.022,2.42,0.678,-0.001
2000-08-03,3.106,2.19,0.306,-0.335,0.996,-0.051,2.418,0.698,-0.01
2000-08-04,3.03,2.196,0.278,-0.364,1.021,-0.101,2.334,0.692,0.004
2000-08-07,2.904,2.214,0.229,-0.371,0.898,-0.066,2.196,0.695,0.013
2000-08-08,2.706,2.137,0.22,-0.361,0.778,-0.068,2.026,0.666,0.014
2000-08-09,2.799,2.159,0.252,-0.342,0.765,-0.035,2.058,0.721,0.02
2000-08-10,2.592,2.065,0.292,-0.42,0.699,-0.044,1.984,0.581,0.027
2000-08-11,2.545,2.121,0.259,-0.435,0.711,-0.111,1.904,0.611,0.03
2000-08-14,2.411,2.115,0.201,-0.465,0.687,-0.127,1.789,0.589,0.033
2000-08-15,2.412,2.072,0.226,-0.398,0.633,-0.121,1.764,0.612,0.036
2000-08-16,2.491,2.065,0.241,-0.353,0.699,-0.161,1.846,0.623,0.022
2000-08-17,2.545,2.073,0.195,-0.36,0.723,-0.086,1.824,0.66,0.061
2000-08-18,2.469,2.084,0.21,-0.392,0.682,-0.115,1.775,0.634,0.06
2000-08-21,2.36,2.038,0.193,-0.397,0.609,-0.083,1.723,0.579,0.058
2000-08-22,2.498,2.114,0.2,-0.4,0.692,-0.108,1.789,0.651,0.058
2000-08-23,2.482,2.122,0.177,-0.336,0.616,-0.097,1.685,0.74,0.057
2000-08-24,2.487,2.14,0.174,-0.321,0.626,-0.132,1.669,0.757,0.061
2000-08-25,2.529,2.087,0.181,-0.305,0.712,-0.146,1.743,0.724,0.062
2000-08-28,2.443,2.103,0.161,-0.271,0.576,-0.126,1.605,0.775,0.063
2000-08-29,2.429,2.026,0.177,-0.247,0.553,-0.08,1.608,0.753,0.068
2000-08-30,2.534,1.992,0.204,-0.257,0.669,-0.074,1.761,0.705,0.068
2000-08-31,2.428,2.047,0.16,-0.311,0.662,-0.13,1.666,0.69,0.072
2000-09-01,2.507,2.118,0.157,-0.309,0.692,-0.151,1.708,0.725,0.074
2000-09-05,2.652,2.119,0.201,-0.317,0.698,-0.049,1.841,0.74,0.071
2000-09-06,2.856,2.16,0.249,-0.344,0.764,0.027,2.018,0.767,0.071
2000-09-07,2.95,2.159,0.218,-0.289,0.824,0.038,2.03,0.848,0.072
2000-09-08,2.817,1.993,0.246,-0.328,0.906,0.0,2.087,0.64,0.09
2000-09-11,2.727,1.987,0.264,-0.306,0.808,-0.026,1.996,0.645,0.086
2000-09-12,2.721,1.953,0.288,-0.313,0.829,-0.036,2.026,0.6,0.095
2000-09-13,2.731,1.989,0.283,-0.344,0.895,-0.092,2.04,0.593,0.098
2000-09-14,2.704,2.039,0.298,-0.343,0.799,-0.089,1.993,0.612,0.099
2000-09-15,2.855,1.987,0.345,-0.303,0.868,-0.042,2.122,0.615,0.118
2000-09-18,2.854,1.976,0.403,-0.254,0.786,-0.057,2.161,0.611,0.082
2000-09-19,2.748,2.001,0.354,-0.26,0.764,-0.111,2.03,0.63,0.088
2000-09-20,2.832,1.979,0.381,-0.217,0.747,-0.058,2.088,0.653,0.091
2000-09-21,2.858,2.013,0.389,-0.244,0.75,-0.05,2.087,0.678,0.093
2000-09-22,2.989,2.085,0.385,-0.262,0.764,0.017,2.182,0.706,0.101
2000-09-25,2.992,2.003,0.421,-0.244,0.752,0.06,2.208,0.675,0.109
2000-09-26,3.069,2.073,0.459,-0.24,0.743,0.034,2.241,0.718,0.11
2000-09-27,2.971,2.002,0.461,-0.202,0.696,0.014,2.19,0.671,0.11
2000-09-28,2.979,2.096,0.36,-0.236,0.873,-0.114,2.133,0.732,0.114
2000-09-29,3.229,2.112,0.438,-0.261,1.017,-0.077,2.4,0.712,0.117
2000-10-02,3.241,2.125,0.513,-0.289,0.915,-0.023,2.438,0.68,0.123
2000-10-03,3.215,2.102,0.551,-0.261,0.835,-0.012,2.421,0.671,0.123
2000-10-04,3.156,2.113,0.529,-0.265,0.839,-0.06,2.397,0.638,0.121
2000-10-05,3.125,2.095,0.525,-0.275,0.864,-0.084,2.406,0.596,0.123
2000-10-06,3.362,2.132,0.612,-0.277,0.999,-0.104,2.681,0.567,0.114
2000-10-09,3.402,2.197,0.63,-0.285,0.904,-0.044,2.683,0.605,0.114
2000-10-10,3.755,2.212,0.679,-0.243,1.073,0.034,2.98,0.667,0.108
2000-10-11,3.983,2.344,0.746,-0.252,1.04,0.105,3.146,0.738,0.099
2000-10-12,4.592,2.422,0.855,-0.275,1.111,0.479,3.631,0.833,0.128
2000-10-13,4.355,2.456,0.701,-0.282,1.095,0.385,3.387,0.826,0.142
2000-10-16,4.103,2.401,0.7,-0.282,0.97,0.314,3.191,0.766,0.146
2000-10-17,4.158,2.491,0.769,-0.286,0.889,0.295,3.253,0.78,0.125
2000-10-18,4.483,2.669,0.799,-0.293,0.947,0.361,3.444,0.919,0.12
2000-10-19,3.944,2.59,0.64,-0.318,0.846,0.186,2.998,0.824,0.122
2000-10-20,3.864,2.576,0.618,-0.336,0.876,0.13,2.945,0.786,0.133
2000-10-23,3.852,2.599,0.618,-0.332,0.815,0.152,2.917,0.806,0.129
2000-10-24,3.778,2.566,0.611,-0.294,0.814,0.081,2.889,0.766,0.123
2000-10-25,3.781,2.496,0.717,-0.275,0.663,0.18,2.959,0.705,0.117
2000-10-26,3.966,2.542,0.715,-0.275,0.724,0.26,3.129,0.718,0.119
2000-10-27,3.827,2.544,0.666,-0.275,0.71,0.182,2.987,0.714,0.126
2000-10-30,3.645,2.459,0.601,-0.275,0.749,0.111,2.953,0.577,0.115
2000-10-31,3.532,2.576,0.503,-0.251,0.666,0.038,2.749,0.666,0.117
2000-11-01,3.591,2.567,0.533,-0.217,0.653,0.055,2.76,0.718,0.113
2000-11-02,3.506,2.577,0.513,-0.213,0.597,0.032,2.658,0.731,0.117
2000-11-03,3.585,2.556,0.517,-0.114,0.61,0.016,2.666,0.801,0.118
2000-11-06,3.43,2.515,0.497,-0.113,0.477,0.054,2.541,0.772,0.117
2000-11-07,3.503,2.506,0.5,-0.087,0.51,0.074,2.597,0.786,0.12
2000-11-08,3.621,2.483,0.57,-0.093,0.57,0.091,2.735,0.77,0.116
2000-11-09,3.857,2.505,0.59,-0.106,0.701,0.167,2.97,0.776,0.111
2000-11-10,3.96,2.511,0.699,-0.149,0.692,0.207,3.126,0.724,0.11
2000-11-13,3.852,2.533,0.736,-0.161,0.672,0.072,3.124,0.674,0.054
2000-11-14,3.455,2.522,0.631,-0.177,0.635,-0.156,2.834,0.592,0.029
2000-11-15,3.428,2.528,0.607,-0.212,0.7,-0.195,2.815,0.577,0.036
2000-11-16,3.489,2.539,0.66,-0.24,0.774,-0.244,2.89,0.561,0.038
2000-11-17,3.489,2.573,0.674,-0.219,0.733,-0.272,2.874,0.579,0.036
2000-11-20,3.719,2.635,0.748,-0.27,0.719,-0.113,3.103,0.587,0.029
2000-11-21,3.682,2.684,0.726,-0.277,0.709,-0.16,3.058,0.601,0.023
2000-11-22,3.824,2.761,0.795,-0.308,0.7,-0.124,3.2,0.611,0.013
2000-11-24,3.6,2.765,0.724,-0.347,0.643,-0.185,3.007,0.583,0.01
2000-11-27,3.793,2.776,0.703,-0.31,0.76,-0.136,3.157,0.627,0.009
2000-11-28,3.855,2.793,0.734,-0.321,0.763,-0.114,3.239,0.617,-0.001
2000-11-29,4.084,2.86,0.709,-0.372,0.98,-0.093,3.469,0.615,0.0
2000-11-30,4.505,3.052,0.803,-0.384,0.961,0.073,3.765,0.739,0.001
2000-12-01,4.457,3.015,0.803,-0.402,0.927,0.114,3.662,0.77,0.025
2000-12-04,4.633,3.112,0.756,-0.398,1.019,0.144,3.75,0.857,0.026
2000-12-05,4.509,3.102,0.587,-0.441,1.128,0.133,3.577,0.877,0.055
2000-12-06,4.406,3.041,0.676,-0.445,0.975,0.159,3.487,0.865,0.054
2000-12-07,4.309,2.998,0.697,-0.45,0.836,0.228,3.411,0.844,0.054
2000-12-08,4.217,2.969,0.612,-0.455,0.936,0.155,3.313,0.84,0.064
2000-12-11,4.182,2.916,0.576,-0.414,0.923,0.181,3.267,0.842,0.073
2000-12-12,4.075,2.874,0.59,-0.434,0.819,0.226,3.193,0.81,0.072
2000-12-13,4.071,2.849,0.625,-0.506,0.888,0.215,3.229,0.754,0.088
2000-12-14,4.086,2.81,0.669,-0.507,0.793,0.321,3.242,0.759,0.085
2000-12-15,4.13,2.777,0.76,-0.558,0.736,0.415,3.344,0.713,0.073
2000-12-18,4.324,2.776,0.708,-0.55,0.858,0.532,3.526,0.724,0.074
2000-12-19,4.323,2.715,0.763,-0.525,0.925,0.445,3.55,0.695,0.078
2000-12-20,4.982,2.768,0.896,-0.607,1.088,0.837,4.1,0.789,0.093
2000-12-21,5.303,2.724,0.853,-0.572,1.531,0.767,4.406,0.8,0.097
2000-12-22,5.319,2.753,0.742,-0.583,1.762,0.645,4.408,0.811,0.1
2000-12-26,4.759,2.761,0.704,-0.569,1.14,0.723,3.848,0.812,0.099
2000-12-27,4.638,2.775,0.65,-0.573,1.081,0.705,3.708,0.827,0.103
2000-12-28,4.491,2.764,0.632,-0.539,1.017,0.617,3.542,0.842,0.107
2000-12-29,4.537,2.78,0.682,-0.545,1.014,0.606,3.574,0.857,0.106
2001-01-02,5.109,2.982,1.036,-0.617,0.946,0.762,4.053,0.952,0.104
2001-01-03,4.854,2.816,0.809,-0.528,1.082,0.675,3.894,0.848,0.112
2001-01-04,4.573,2.756,0.866,-0.602,0.869,0.684,3.691,0.772,0.11
2001-01-05,4.963,2.756,0.987,-0.668,1.036,0.852,4.118,0.735,0.11
2001-01-08,4.731,2.677,0.99,-0.639,0.797,0.906,3.914,0.705,0.112
2001-01-09,4.392,2.561,0.97,-0.619,0.663,0.817,3.606,0.677,0.109
2001-01-10,4.3,2.511,0.92,-0.555,0.607,0.817,3.495,0.698,0.107
2001-01-11,4.171,2.435,0.872,-0.588,0.683,0.769,3.436,0.626,0.109
2001-01-12,3.935,2.331,0.902,-0.539,0.649,0.592,3.308,0.55,0.077
2001-01-16,4.07,2.315,0.973,-0.501,0.64,0.643,3.402,0.589,0.079
2001-01-17,3.916,2.225,0.962,-0.56,0.632,0.657,3.364,0.452,0.1
2001-01-18,3.782,2.217,0.896,-0.534,0.605,0.598,3.189,0.499,0.094
2001-01-19,3.694,2.185,0.914,-0.482,0.575,0.502,3.135,0.496,0.063
2001-01-22,3.676,2.123,0.906,-0.431,0.563,0.515,3.109,0.506,0.061
2001-01-23,3.415,2.074,0.844,-0.432,0.501,0.428,2.857,0.495,0.063
2001-01-24,3.461,2.064,0.827,-0.442,0.553,0.459,2.945,0.45,0.066
2001-01-25,3.478,2.015,0.846,-0.422,0.627,0.412,2.963,0.45,0.065
2001-01-26,3.47,2.029,0.85,-0.425,0.624,0.392,2.966,0.435,0.069
2001-01-29,3.293,2.019,0.818,-0.402,0.525,0.333,2.781,0.444,0.068
2001-01-30,3.387,1.97,0.784,-0.404,0.719,0.318,2.867,0.454,0.066
2001-01-31,3.153,1.961,0.811,-0.448,0.583,0.246,2.599,0.484,0.07
2001-02-01,3.551,1.929,0.865,-0.381,0.642,0.496,2.725,0.749,0.077
2001-02-02,3.631,1.913,0.947,-0.373,0.67,0.474,2.804,0.748,0.079
2001-02-05,3.548,1.896,0.928,-0.333,0.568,0.489,2.687,0.777,0.084
2001-02-06,3.539,1.856,0.926,-0.328,0.643,0.442,2.737,0.716,0.086
2001-02-07,3.454,1.862,0.963,-0.366,0.593,0.402,2.725,0.65,0.079
2001-02-08,3.405,1.848,0.989,-0.387,0.559,0.396,2.678,0.642,0.085
2001-02-09,3.522,1.864,1.057,-0.416,0.593,0.424,2.776,0.659,0.087
2001-02-12,3.518,1.874,0.992,-0.402,0.568,0.486,2.757,0.673,0.088
2001-02-13,3.468,1.887,1.027,-0.386,0.531,0.409,2.694,0.681,0.093
2001-02-14,3.586,1.87,1.04,-0.335,0.555,0.456,2.738,0.741,0.107
2001-02-15,3.508,1.823,0.994,-0.29,0.555,0.426,2.665,0.727,0.116
2001-02-16,3.706,1.903,1.091,-0.313,0.557,0.468,2.849,0.767,0.09
2001-02-20,3.814,1.925,1.163,-0.297,0.487,0.536,2.956,0.789,0.069
2001-02-21,4.024,1.974,1.245,-0.311,0.49,0.626,3.148,0.816,0.06
2001-02-22,4.057,1.987,1.242,-0.319,0.482,0.665,3.268,0.735,0.054
2001-02-23,4.408,2.033,1.268,-0.296,0.673,0.73,3.507,0.852,0.049
2001-02-26,4.096,2.034,1.178,-0.354,0.602,0.636,3.249,0.803,0.044
2001-02-27,3.992,2.044,1.205,-0.381,0.448,0.676,3.152,0.801,0.039
2001-02-28,4.041,2.099,1.267,-0.399,0.302,0.772,3.176,0.827,0.038
2001-03-01,4.11,2.034,1.258,-0.377,0.403,0.792,3.217,0.854,0.039
2001-03-02,4.176,2.057,1.274,-0.382,0.432,0.795,3.261,0.875,0.04
2001-03-05,4.007,2.042,1.229,-0.374,0.418,0.692,3.135,0.85,0.022
2001-03-06,3.804,2.038,1.165,-0.349,0.43,0.52,3.004,0.788,0.012
2001-03-07,3.744,2.024,1.127,-0.398,0.53,0.461,2.988,0.744,0.012
2001-03-08,3.731,2.014,1.112,-0.416,0.538,0.483,2.966,0.756,0.009
2001-03-09,3.698,1.998,1.222,-0.416,0.433,0.461,2.983,0.734,-0.019
2001-03-12,4.432,2.036,1.418,-0.448,0.693,0.733,3.663,0.795,-0.026
2001-03-13,4.099,2.039,1.346,-0.412,0.514,0.612,3.365,0.752,-0.018
2001-03-14,4.63,2.167,1.459,-0.454,0.644,0.814,3.788,0.837,0.005
2001-03-15,4.438,2.19,1.408,-0.497,0.517,0.82,3.624,0.803,0.011
2001-03-16,4.593,2.224,1.501,-0.496,0.424,0.94,3.752,0.824,0.017
2001-03-19,4.465,2.238,1.417,-0.47,0.379,0.901,3.592,0.863,0.01
2001-03-20,4.555,2.257,1.497,-0.441,0.339,0.903,3.66,0.888,0.007
2001-03-21,4.87,2.346,1.575,-0.494,0.482,0.961,3.95,0.916,0.004
2001-03-22,5.317,2.486,1.608,-0.511,0.718,1.016,4.23,1.088,-0.001
2001-03-23,4.898,2.42,1.495,-0.471,0.565,0.889,3.829,1.059,0.01
2001-03-26,4.941,2.391,1.413,-0.442,0.751,0.828,3.873,1.057,0.011
2001-03-27,4.46,2.312,1.278,-0.397,0.537,0.73,3.446,0.998,0.016
2001-03-28,4.795,2.308,1.383,-0.397,0.624,0.877,3.783,0.991,0.021
2001-03-29,5.039,2.308,1.388,-0.392,0.785,0.95,4.02,0.991,0.028
