,Date,content
1138,1979-08-14," Governor Wallich, I have with me today Dave Robinson who is the Manager of the audit team, and I'll turn the question over to him   That is correct We also did a sample of the transactions of the Federal Open Market Trading Desk and ascertained whether the directive was being carried out All those cases in the random sample indicated that it was   A random sample, yes "
2483,1983-12-19," Yes, they were quite clean   Very straight[forward] "
