DATE,INDPRO_PC1
1938-09-01,-18.18281
1938-10-01,-9.45440
1938-11-01,4.43519
1938-12-01,15.92848
1939-01-01,18.55198
1939-02-01,20.54842
1939-03-01,21.00516
1939-04-01,22.79178
1939-05-01,25.23773
1939-06-01,26.88685
1939-07-01,23.66037
1939-08-01,19.06817
1939-09-01,22.63534
1939-10-01,25.70227
1939-11-01,23.93899
1939-12-01,22.51947
1940-01-01,20.99235
1940-02-01,16.28801
1940-03-01,13.20688
1940-04-01,15.90912
1940-05-01,19.77153
1940-06-01,20.81778
1940-07-01,18.77224
1940-08-01,17.79303
1940-09-01,13.42260
1940-10-01,9.58490
1940-11-01,9.34596
1940-12-01,13.08412
1941-01-01,17.35015
1941-02-01,24.75505
1941-03-01,31.66663
1941-04-01,29.41114
1941-05-01,31.42883
1941-06-01,28.30715
1941-07-01,28.26834
1941-08-01,29.00298
1941-09-01,26.33063
1941-10-01,25.65641
1941-11-01,23.36166
1941-12-01,21.21164
1942-01-01,20.69950
1942-02-01,19.32154
1942-03-01,16.96287
1942-04-01,13.38464
1942-05-01,8.69531
1942-06-01,8.15386
1942-07-01,9.47854
1942-08-01,11.47588
1942-09-01,14.05182
1942-10-01,16.70549
1942-11-01,18.93754
1942-12-01,19.77300
1943-01-01,18.48546
1943-02-01,19.47517
1943-03-01,19.04706
1943-04-01,24.05321
1943-05-01,24.66678
1943-06-01,23.72473
1943-07-01,24.45815
1943-08-01,23.31927
1943-09-01,23.61416
1943-10-01,21.47098
1943-11-01,20.19380
1943-12-01,15.93932
1944-01-01,16.16483
1944-02-01,14.10223
1944-03-01,13.09106
1944-04-01,11.66944
1944-05-01,10.16118
1944-06-01,10.39437
1944-07-01,6.95710
1944-08-01,6.13262
1944-09-01,2.82345
1944-10-01,1.63650
1944-11-01,-0.48420
1944-12-01,0.49113
1945-01-01,-1.61796
1945-02-01,-2.72886
1945-03-01,-3.21569
1945-04-01,-4.98406
1945-05-01,-6.95796
1945-06-01,-8.76674
1945-07-01,-10.73154
1945-08-01,-21.02698
1945-09-01,-27.62487
1945-10-01,-30.75675
1945-11-01,-27.59749
1945-12-01,-27.03577
1946-01-01,-30.42786
1946-02-01,-33.66325
1946-03-01,-26.24558
1946-04-01,-26.22629
1946-05-01,-26.95655
1946-06-01,-20.64022
1946-07-01,-16.02931
1946-08-01,-2.84626
1946-09-01,8.70518
1946-10-01,15.34863
1946-11-01,11.88325
1946-12-01,12.05346
1947-01-01,20.09476
1947-02-01,27.11430
1947-03-01,15.76580
1947-04-01,16.97187
1947-05-01,21.90439
1947-06-01,14.79799
1947-07-01,10.41171
1947-08-01,7.11334
1947-09-01,5.95489
1947-10-01,5.04019
1947-11-01,5.81169
1947-12-01,5.57769
1948-01-01,4.92184
1948-02-01,4.50145
1948-03-01,2.72374
1948-04-01,3.72576
1948-05-01,5.07804
1948-06-01,6.44558
1948-07-01,7.07313
1948-08-01,6.05486
1948-09-01,4.45712
1948-10-01,4.22307
1948-11-01,1.51486
1948-12-01,0.18873
1949-01-01,-1.31366
1949-02-01,-2.43441
1949-03-01,-3.21985
1949-04-01,-3.97010
1949-05-01,-6.87711
1949-06-01,-8.25703
1949-07-01,-8.44056
1949-08-01,-7.18219
1949-09-01,-5.56598
1949-10-01,-9.76046
1949-11-01,-6.15631
1949-12-01,-3.57840
1950-01-01,-0.95082
1950-02-01,0.38328
1950-03-01,5.67522
1950-04-01,9.84298
1950-05-01,13.97208
1950-06-01,17.60024
1950-07-01,21.64314
1950-08-01,24.20614
1950-09-01,22.20054
1950-10-01,27.75489
1950-11-01,24.25428
1950-12-01,24.21872
1951-01-01,22.45718
1951-02-01,22.75379
1951-03-01,19.44417
1951-04-01,15.77016
1951-05-01,12.78474
1951-06-01,9.01347
1951-07-01,3.95372
1951-08-01,-0.15979
1951-09-01,1.12570
1951-10-01,0.31957
1951-11-01,1.27976
1951-12-01,0.15727
1952-01-01,0.94012
1952-02-01,0.93426
1952-03-01,0.77540
1952-04-01,-0.30968
1952-05-01,-0.93192
1952-06-01,-1.40442
1952-07-01,-1.42611
1952-08-01,5.91981
1952-09-01,9.06147
1952-10-01,10.35012
1952-11-01,11.69058
1952-12-01,11.61715
1953-01-01,10.71431
1953-02-01,10.64815
1953-03-01,11.23092
1953-04-01,12.73347
1953-05-01,14.41986
1953-06-01,15.03160
1953-07-01,18.32812
1953-08-01,10.57406
1953-09-01,4.51909
1953-10-01,2.59756
1953-11-01,-1.83872
1953-12-01,-4.78222
1954-01-01,-5.75035
1954-02-01,-5.99727
1954-03-01,-7.33047
1954-04-01,-8.26461
1954-05-01,-8.21886
1954-06-01,-7.56485
1954-07-01,-8.56005
1954-08-01,-8.19689
1954-09-01,-6.13678
1954-10-01,-4.21949
1954-11-01,-0.28826
1954-12-01,3.54491
1955-01-01,6.69658
1955-02-01,7.71555
1955-03-01,10.89511
1955-04-01,12.91302
1955-05-01,14.02971
1955-06-01,13.83909
1955-07-01,14.56174
1955-08-01,14.58341
1955-09-01,15.15625
1955-10-01,15.71203
1955-11-01,14.16189
1955-12-01,13.12447
1956-01-01,11.29701
1956-02-01,8.95300
1956-03-01,6.46053
1956-04-01,5.98415
1956-05-01,3.40308
1956-06-01,2.35308
1956-07-01,-1.55636
1956-08-01,2.59762
1956-09-01,4.25824
1956-10-01,3.42637
1956-11-01,2.27862
1956-12-01,3.40476
1957-01-01,2.38112
1957-02-01,4.29856
1957-03-01,4.17211
1957-04-01,2.00714
1957-05-01,2.53185
1957-06-01,3.70374
1957-07-01,7.64173
1957-08-01,3.41770
1957-09-01,0.24759
1957-10-01,-2.08599
1957-11-01,-3.58915
1957-12-01,-6.82928
1958-01-01,-8.20066
1958-02-01,-11.03053
1958-03-01,-12.01460
1958-04-01,-12.29979
1958-05-01,-11.11131
1958-06-01,-8.99024
1958-07-01,-8.20066
1958-08-01,-6.36464
1958-09-01,-4.69168
1958-10-01,-2.12998
1958-11-01,3.20915
1958-12-01,5.36647
1959-01-01,8.93325
1959-02-01,13.48781
1959-03-01,16.55153
1959-04-01,21.03773
1959-05-01,21.66680
1959-06-01,18.67383
1959-07-01,14.13316
1959-08-01,8.10432
1959-09-01,6.99525
1959-10-01,4.99350
1959-11-01,2.61217
1959-12-01,8.81993
1960-01-01,10.03669
1960-02-01,6.96286
1960-03-01,4.49736
1960-04-01,1.50635
1960-05-01,-0.11418
1960-06-01,-1.48230
1960-07-01,0.58426
1960-08-01,3.99050
1960-09-01,3.02654
1960-10-01,3.65861
1960-11-01,1.57573
1960-12-01,-6.16434
1961-01-01,-8.45363
1961-02-01,-7.74409
1961-03-01,-6.34201
1961-04-01,-3.65309
1961-05-01,-2.05727
1961-06-01,0.57844
1961-07-01,2.09072
1961-08-01,3.13951
1961-09-01,4.11260
1961-10-01,6.23521
1961-11-01,9.42706
1961-12-01,12.53015
1962-01-01,11.42151
1962-02-01,13.38195
1962-03-01,13.30102
1962-04-01,11.25587
1962-05-01,9.45152
1962-06-01,7.71037
1962-07-01,7.50842
1962-08-01,6.65174
1962-09-01,7.44912
1962-10-01,5.53694
1962-11-01,4.36200
1962-12-01,3.45958
1963-01-01,5.12517
1963-02-01,4.61377
1963-03-01,4.69551
1963-04-01,5.43158
1963-05-01,6.82327
1963-06-01,7.37177
1963-07-01,5.92594
1963-08-01,6.02541
1963-09-01,6.40772
1963-10-01,7.03037
1963-11-01,7.10550
1963-12-01,6.89646
1964-01-01,7.05429
1964-02-01,6.56395
1964-03-01,5.91241
1964-04-01,6.66657
1964-05-01,5.98814
1964-06-01,5.96990
1964-07-01,7.09295
1964-08-01,7.57707
1964-09-01,6.91018
1964-10-01,4.70605
1964-11-01,7.41481
1964-12-01,8.89561
1965-01-01,9.10844
1965-02-01,9.04743
1965-03-01,10.49081
1965-04-01,9.18560
1965-05-01,9.41591
1965-06-01,9.95328
1965-07-01,10.26116
1965-08-01,10.00920
1965-09-01,9.87987
1965-10-01,12.54704
1965-11-01,9.62748
1965-12-01,9.69471
1966-01-01,9.59140
1966-02-01,9.62041
1966-03-01,9.66900
1966-04-01,9.36680
1966-05-01,9.55250
1966-06-01,9.22281
1966-07-01,8.79849
1966-08-01,8.42467
1966-09-01,9.15963
1966-10-01,8.81821
1966-11-01,7.62209
1966-12-01,6.54657
1967-01-01,6.00827
1967-02-01,4.13060
1967-03-01,2.14569
1967-04-01,2.94554
1967-05-01,1.08558
1967-06-01,0.59855
1967-07-01,-0.17662
1967-08-01,1.65682
1967-09-01,0.55431
1967-10-01,0.67583
1967-11-01,2.82296
1967-12-01,3.69093
1968-01-01,3.09280
1968-02-01,4.64942
1968-03-01,5.57123
1968-04-01,4.73613
1968-05-01,6.84288
1968-06-01,7.24900
1968-07-01,7.32883
1968-08-01,5.60513
1968-09-01,6.17738
1968-10-01,5.52858
1968-11-01,5.38655
1968-12-01,4.59280
1969-01-01,5.33919
1969-02-01,5.63441
1969-03-01,6.13154
1969-04-01,5.58831
1969-05-01,4.02242
1969-06-01,4.65405
1969-07-01,5.36831
1969-08-01,5.31652
1969-09-01,4.89549
1969-10-01,4.71845
1969-11-01,2.40657
1969-12-01,1.81031
1970-01-01,-0.67589
1970-02-01,-1.37249
1970-03-01,-2.26701
1970-04-01,-2.15817
1970-05-01,-1.90150
1970-06-01,-3.16459
1970-07-01,-3.43700
1970-08-01,-3.83015
1970-09-01,-4.47142
1970-10-01,-6.40987
1970-11-01,-6.09135
1970-12-01,-3.67630
1971-01-01,-1.10404
1971-02-01,-1.22744
1971-03-01,-1.20596
1971-04-01,-0.39539
1971-05-01,0.22701
1971-06-01,0.97374
1971-07-01,0.43429
1971-08-01,0.02968
1971-09-01,2.36088
