DATE,PCEPI_PCA
1981-02-01,12.84584
1981-03-01,8.69065
1981-04-01,5.36552
1981-05-01,5.54020
1981-06-01,4.89477
1981-07-01,7.47899
1981-08-01,7.74597
1981-09-01,7.52646
1981-10-01,5.58382
1981-11-01,6.60851
1981-12-01,3.78944
1982-01-01,7.38008
1982-02-01,3.64802
1982-03-01,3.13277
1982-04-01,0.61789
1982-05-01,7.34391
1982-06-01,9.05373
1982-07-01,7.35309
1982-08-01,3.79030
1982-09-01,3.38955
1982-10-01,6.94426
1982-11-01,3.64341
1982-12-01,1.82657
1983-01-01,5.77166
1983-02-01,2.04109
1983-03-01,1.56213
1983-04-01,5.62308
1983-05-01,3.45576
1983-06-01,4.55908
1983-07-01,6.97345
1983-08-01,5.27376
1983-09-01,4.27079
1983-10-01,2.05860
1983-11-01,1.71395
1983-12-01,0.67178
1984-01-01,5.33766
1984-02-01,8.37406
1984-03-01,4.02062
1984-04-01,4.64415
1984-05-01,1.53669
1984-06-01,2.15464
1984-07-01,4.39256
1984-08-01,3.74764
1984-09-01,1.63969
1984-10-01,2.86972
1984-11-01,1.68060
1984-12-01,3.42999
1985-01-01,6.16498
1985-02-01,5.74630
1985-03-01,4.78515
1985-04-01,1.74328
1985-05-01,2.90108
1985-06-01,3.31373
1985-07-01,2.97899
1985-08-01,4.04234
1985-09-01,2.04194
1985-10-01,2.01562
1985-11-01,3.55148
1985-12-01,4.11904
1986-01-01,5.66322
1986-02-01,0.00000
1986-03-01,-2.60557
1986-04-01,-2.43768
1986-05-01,2.22573
1986-06-01,4.55779
1986-07-01,0.28811
1986-08-01,1.53753
1986-09-01,3.98250
1986-10-01,2.18020
1986-11-01,2.17624
1986-12-01,1.61407
1987-01-01,5.75796
1987-02-01,4.29298
1987-03-01,3.22079
1987-04-01,4.55945
1987-05-01,3.08896
1987-06-01,4.64272
1987-07-01,2.80470
1987-08-01,4.85977
1987-09-01,4.10735
1987-10-01,3.87297
1987-11-01,2.31319
1987-12-01,2.24396
1988-01-01,4.74554
1988-02-01,1.78122
1988-03-01,4.21694
1988-04-01,5.99853
1988-05-01,3.53450
1988-06-01,5.23057
1988-07-01,5.99052
1988-08-01,3.61921
1988-09-01,6.00759
1988-10-01,3.99200
1988-11-01,2.80356
1988-12-01,3.82222
1989-01-01,6.33075
1989-02-01,4.06155
1989-03-01,4.56949
1989-04-01,8.29966
1989-05-01,4.45934
1989-06-01,2.66471
1989-07-01,2.90186
1989-08-01,0.13802
1989-09-01,2.71265
1989-10-01,4.78031
1989-11-01,2.65577
1989-12-01,3.53396
1990-01-01,9.48761
1990-02-01,5.40837
1990-03-01,4.61909
1990-04-01,2.54160
1990-05-01,2.73224
1990-06-01,5.43981
1990-07-01,3.00652
1990-08-01,8.28309
1990-09-01,7.62022
1990-10-01,7.09265
1990-11-01,1.51854
1990-12-01,1.14020
1991-01-01,4.64759
1991-02-01,0.61245
1991-03-01,0.25928
1991-04-01,2.18535
1991-05-01,5.09977
1991-06-01,2.04109
1991-07-01,1.90684
1991-08-01,2.82112
1991-09-01,4.21084
1991-10-01,2.28271
1991-11-01,2.65028
1991-12-01,3.05405
1992-01-01,1.64120
1992-02-01,3.07927
1992-03-01,2.94171
1992-04-01,3.30451
1992-05-01,1.58997
1992-06-01,2.17098
1992-07-01,4.02427
1992-08-01,1.61593
1992-09-01,1.97560
1992-10-01,4.33078
1992-11-01,2.38072
1992-12-01,2.10547
1993-01-01,2.96827
1993-02-01,1.82788
1993-03-01,2.48814
1993-04-01,3.23883
1993-05-01,3.77164
1993-06-01,0.41928
1993-07-01,1.91655
1993-08-01,2.07298
1993-09-01,1.25807
1993-10-01,3.84971
1993-11-01,2.29006
1993-12-01,0.27664
1994-01-01,0.39779
1994-02-01,2.81424
1994-03-01,3.35648
1994-04-01,1.43455
1994-05-01,1.74604
1994-06-01,2.98576
1994-07-01,3.84160
1994-08-01,2.77662
1994-09-01,1.35063
1994-10-01,2.05584
1994-11-01,2.31156
1994-12-01,0.78072
1995-01-01,2.44375
1995-02-01,2.14603
1995-03-01,2.24525
1995-04-01,3.20564
1995-05-01,1.85944
1995-06-01,1.17783
1995-07-01,1.51519
1995-08-01,2.61922
1995-09-01,0.81954
1995-10-01,3.15864
1995-11-01,-0.03321
1995-12-01,2.33320
1996-01-01,2.70177
1996-02-01,1.90195
1996-03-01,3.67715
1996-04-01,3.66592
1996-05-01,2.08803
1996-06-01,-0.01639
1996-07-01,2.56979
1996-08-01,1.15070
1996-09-01,3.43467
1996-10-01,3.69401
1996-11-01,2.16512
1996-12-01,1.38684
1997-01-01,1.56578
1997-02-01,2.55243
1997-03-01,1.26617
1997-04-01,1.18331
1997-05-01,-0.54626
1997-06-01,1.55797
1997-07-01,0.71041
1997-08-01,0.96931
1997-09-01,2.93143
1997-10-01,1.56626
1997-11-01,0.06406
1997-12-01,-0.25587
1998-01-01,0.59413
1998-02-01,-0.62246
1998-03-01,0.19234
1998-04-01,1.49932
1998-05-01,1.65968
1998-06-01,-1.01732
1998-07-01,3.01383
1998-08-01,1.67087
1998-09-01,-0.69834
1998-10-01,2.66062
1998-11-01,0.06361
1998-12-01,1.21480
1999-01-01,2.21358
1999-02-01,-0.28495
1999-03-01,0.93945
1999-04-01,5.68796
1999-05-01,0.60089
1999-06-01,0.25248
1999-07-01,3.23005
1999-08-01,2.12648
1999-09-01,4.28668
1999-10-01,1.92416
1999-11-01,1.05087
1999-12-01,2.92371
2000-01-01,3.47709
2000-02-01,3.93220
2000-03-01,5.24057
2000-04-01,-1.17929
2000-05-01,0.85108
2000-06-01,3.99930
2000-07-01,2.92484
2000-08-01,-0.13776
2000-09-01,5.26996
2000-10-01,1.70622
2000-11-01,1.54922
2000-12-01,1.57808
2001-01-01,5.56027
2001-02-01,1.67630
2001-03-01,0.06043
2001-04-01,2.18103
2001-05-01,3.25853
2001-06-01,2.18654
2001-07-01,-0.40444
2001-08-01,-0.09004
2001-09-01,-3.92125
2001-10-01,4.44126
2001-11-01,-0.73297
2001-12-01,-1.25426
2002-01-01,0.90578
2002-02-01,2.00112
2002-03-01,3.38083
2002-04-01,5.31513
2002-05-01,0.85216
2002-06-01,1.46818
2002-07-01,2.43463
2002-08-01,2.26302
2002-09-01,2.13793
2002-10-01,2.25475
2002-11-01,1.20152
2002-12-01,1.05142
2003-01-01,3.31838
2003-02-01,4.84775
2003-03-01,2.78484
2003-04-01,-2.36729
2003-05-01,-1.59671
2003-06-01,1.13332
2003-07-01,3.46227
2003-08-01,3.94999
2003-09-01,3.60611
2003-10-01,-0.08695
2003-11-01,1.50361
2003-12-01,2.84567
2004-01-01,5.14493
2004-02-01,2.85647
2004-03-01,1.99875
2004-04-01,2.19989
2004-05-01,3.99021
2004-06-01,3.51988
2004-07-01,1.20066
2004-08-01,0.66951
2004-09-01,2.41073
2004-10-01,5.26494
2004-11-01,4.69634
2004-12-01,0.60587
2005-01-01,1.55582
2005-02-01,3.34634
2005-03-01,3.51014
2005-04-01,3.22675
2005-05-01,0.58581
2005-06-01,0.68341
2005-07-01,5.19155
2005-08-01,4.90864
2005-09-01,12.15025
2005-10-01,1.83078
2005-11-01,-2.53265
2005-12-01,0.01366
2006-01-01,6.00549
2006-02-01,0.59975
2006-03-01,2.05712
2006-04-01,5.23498
2006-05-01,3.01210
2006-06-01,2.93536
2006-07-01,4.33073
2006-08-01,3.87054
2006-09-01,-3.14449
2006-10-01,-2.87943
2006-11-01,0.44371
2006-12-01,4.48950
2007-01-01,4.36153
2007-02-01,3.86213
2007-03-01,4.34557
2007-04-01,2.55606
2007-05-01,3.40492
2007-06-01,2.55691
2007-07-01,1.94817
2007-08-01,0.77653
2007-09-01,4.58930
2007-10-01,3.46176
2007-11-01,6.43204
2007-12-01,2.79417
2008-01-01,3.23919
2008-02-01,2.55572
2008-03-01,3.78111
2008-04-01,2.56857
2008-05-01,5.52180
2008-06-01,8.87637
2008-07-01,5.29750
2008-08-01,-1.01534
2008-09-01,1.30602
2008-10-01,-7.06318
2008-11-01,-12.89995
2008-12-01,-6.27077
2009-01-01,0.43894
2009-02-01,2.47469
2009-03-01,-1.01068
2009-04-01,1.92056
2009-05-01,1.47403
2009-06-01,7.34277
2009-07-01,0.07654
2009-08-01,3.52410
2009-09-01,2.02754
2009-10-01,4.70634
2009-11-01,3.02538
2009-12-01,0.50571
2010-01-01,2.43495
2010-02-01,-0.18858
2010-03-01,1.48243
2010-04-01,0.49132
2010-05-01,0.25158
2010-06-01,-0.66375
2010-07-01,1.03553
2010-08-01,1.61933
2010-09-01,1.12190
2010-10-01,3.61703
2010-11-01,2.28474
2010-12-01,2.75238
2011-01-01,4.02874
2011-02-01,3.52779
2011-03-01,4.95592
2011-04-01,5.14165
2011-05-01,3.72894
2011-06-01,-0.20764
2011-07-01,2.22337
2011-08-01,2.95644
2011-09-01,1.76749
2011-10-01,0.07297
2011-11-01,2.49607
2011-12-01,0.69375
2012-01-01,4.39050
2012-02-01,2.88895
2012-03-01,2.20363
2012-04-01,1.64863
2012-05-01,-1.40862
2012-06-01,-0.64766
2012-07-01,0.44624
2012-08-01,4.06841
2012-09-01,3.75658
2012-10-01,3.57189
2012-11-01,-0.79572
2012-12-01,-0.11921
2013-01-01,2.25368
2013-02-01,4.45842
2013-03-01,-1.57820
2013-04-01,-0.88733
2013-05-01,0.78745
2013-06-01,2.64525
2013-07-01,1.49194
2013-08-01,1.81461
2013-09-01,0.49767
2013-10-01,1.97943
2013-11-01,1.83212
2013-12-01,2.38167
2014-01-01,2.24489
2014-02-01,0.63556
2014-03-01,2.38323
2014-04-01,2.23506
2014-05-01,1.98080
2014-06-01,1.29080
2014-07-01,1.78574
2014-08-01,-0.20925
2014-09-01,0.25634
2014-10-01,-0.33691
2014-11-01,-0.95022
2014-12-01,-1.95087
2015-01-01,-5.62484
2015-02-01,1.90393
2015-03-01,2.76168
2015-04-01,0.60899
2015-05-01,3.08951
2015-06-01,2.50840
2015-07-01,1.30914
2015-08-01,0.03483
2015-09-01,-1.80705
2015-10-01,0.01162
2015-11-01,0.67627
2015-12-01,-0.74098
2016-01-01,0.66461
2016-02-01,-0.79871
2016-03-01,1.95889
2016-04-01,3.98249
2016-05-01,2.12607
2016-06-01,2.33444
2016-07-01,1.10057
2016-08-01,1.90513
2016-09-01,1.23728
2016-10-01,2.76831
2016-11-01,0.50543
2016-12-01,2.59646
2017-01-01,4.19374
2017-02-01,0.96115
2017-03-01,-1.25623
2017-04-01,2.73430
2017-05-01,0.15929
2017-06-01,1.37271
2017-07-01,0.88930
2017-08-01,2.72255
2017-09-01,4.03521
2017-10-01,2.19969
2017-11-01,2.28762
2017-12-01,2.07687
2018-01-01,3.43096
2018-02-01,2.26143
2018-03-01,1.48455
2018-04-01,2.36831
2018-05-01,2.84248
2018-06-01,1.84852
2018-07-01,1.91338
2018-08-01,0.41054
2018-09-01,1.17987
2018-10-01,2.39275
2018-11-01,0.73098
2018-12-01,0.59735
2019-01-01,-0.99880
2019-02-01,1.06458
2019-03-01,2.55435
2019-04-01,3.40793
2019-05-01,1.60260
2019-06-01,1.45602
